ground_truth_id,source_entity_id,target_entity_id,relationship_type,expected_relationship,case_id,evidence_reference
GT-0096,PERSON-0442,PERSON-0214,CONTACTED,1,CASE-0131,Synthetic telecommunication record: PERSON-0442 Mamta Shukla contacted PERSON-0214 Sumit Ansari via SMS in relation to CASE-0131.
GT-0097,PERSON-0081,PERSON-0182,CONTACTED,1,CASE-0260,Synthetic telecommunication record: PERSON-0081 Radha Verma contacted PERSON-0182 Dinesh Kumar via SMS in relation to CASE-0260.
GT-0098,PERSON-0379,PERSON-0023,CONTACTED,1,CASE-0585,Synthetic telecommunication record: PERSON-0379 Deepak Dutta contacted PERSON-0023 Manish Kaur via PHONE_CALL in relation to CASE-0585.
GT-0099,PERSON-0341,PERSON-0948,CONTACTED,1,CASE-1173,Synthetic telecommunication record: PERSON-0341 Usha Sharma contacted PERSON-0948 Rakesh Goyal via SMS in relation to CASE-1173.
GT-0100,PERSON-0090,PERSON-0835,CONTACTED,1,CASE-1041,Synthetic telecommunication record: PERSON-0090 Kunal Joshi contacted PERSON-0835 Sachin Jain via SMS in relation to CASE-1041.
GT-0101,PERSON-0779,PERSON-0409,CONTACTED,1,CASE-0380,Synthetic telecommunication record: PERSON-0779 Deepak Ghosh contacted PERSON-0409 Kavita Ali via WHATSAPP in relation to CASE-0380.
GT-0102,PERSON-0806,PERSON-0963,CONTACTED,1,CASE-0662,Synthetic telecommunication record: PERSON-0806 Kunal Bose contacted PERSON-0963 Vijay Mishra via SMS in relation to CASE-0662.
GT-0103,PERSON-0391,PERSON-0407,CONTACTED,1,CASE-1180,Synthetic telecommunication record: PERSON-0391 Manish Mukherjee contacted PERSON-0407 Abhishek Roy via SMS in relation to CASE-1180.
GT-0104,PERSON-0187,PERSON-0116,CONTACTED,1,CASE-0915,Synthetic telecommunication record: PERSON-0187 Naveen Ansari contacted PERSON-0116 Vivek Tiwari via WHATSAPP in relation to CASE-0915.
GT-0105,PERSON-0465,PERSON-0891,CONTACTED,1,CASE-0028,Synthetic telecommunication record: PERSON-0465 Devendra Kaur contacted PERSON-0891 Dinesh Garg via SMS in relation to CASE-0028.
GT-0106,PERSON-0246,PERSON-0377,CONTACTED,1,CASE-0280,Synthetic telecommunication record: PERSON-0246 Jitendra Ghosh contacted PERSON-0377 Ajay Shukla via PHONE_CALL in relation to CASE-0280.
GT-0107,PERSON-0186,PERSON-0395,CONTACTED,1,CASE-0545,Synthetic telecommunication record: PERSON-0186 Vandana Verma contacted PERSON-0395 Sanjay Singh via PHONE_CALL in relation to CASE-0545.
GT-0108,PERSON-0054,PERSON-0684,CONTACTED,1,CASE-0586,Synthetic telecommunication record: PERSON-0054 Nitin Mishra contacted PERSON-0684 Mukesh Sen via SMS in relation to CASE-0586.
GT-0109,PERSON-0598,PERSON-0201,CONTACTED,1,CASE-1116,Synthetic telecommunication record: PERSON-0598 Anil Yadav contacted PERSON-0201 Amit Shukla via WHATSAPP in relation to CASE-1116.
GT-0110,PERSON-0964,PERSON-0426,CONTACTED,1,CASE-0323,Synthetic telecommunication record: PERSON-0964 Deepak Jain contacted PERSON-0426 Suresh Siddiqui via PHONE_CALL in relation to CASE-0323.
GT-0111,PERSON-0796,PERSON-0325,CONTACTED,1,CASE-0617,Synthetic telecommunication record: PERSON-0796 Seema Mehta contacted PERSON-0325 Kamla Shukla via SMS in relation to CASE-0617.
GT-0112,PERSON-0736,PERSON-0830,CONTACTED,1,CASE-0438,Synthetic telecommunication record: PERSON-0736 Ramesh Pandey contacted PERSON-0830 Manju Agarwal via PHONE_CALL in relation to CASE-0438.
GT-0113,PERSON-0581,PERSON-0423,CONTACTED,1,CASE-0928,Synthetic telecommunication record: PERSON-0581 Alok Ansari contacted PERSON-0423 Pushpa Bhattacharya via WHATSAPP in relation to CASE-0928.
GT-0114,PERSON-0232,PERSON-0107,CONTACTED,1,CASE-0938,Synthetic telecommunication record: PERSON-0232 Lata Das contacted PERSON-0107 Naveen Mehta via PHONE_CALL in relation to CASE-0938.
GT-0115,PERSON-0547,PERSON-0662,CONTACTED,1,CASE-0062,Synthetic telecommunication record: PERSON-0547 Pooja Khan contacted PERSON-0662 Sushma Bose via PHONE_CALL in relation to CASE-0062.
GT-0116,PERSON-0963,PERSON-0544,CONTACTED,1,CASE-1016,Synthetic telecommunication record: PERSON-0963 Vijay Mishra contacted PERSON-0544 Manju Mittal via SMS in relation to CASE-1016.
GT-0117,PERSON-0146,PERSON-0955,CONTACTED,1,CASE-0343,Synthetic telecommunication record: PERSON-0146 Kunal Bhattacharya contacted PERSON-0955 Sunil Kaur via PHONE_CALL in relation to CASE-0343.
GT-0118,PERSON-0378,PERSON-0748,CONTACTED,1,CASE-0163,Synthetic telecommunication record: PERSON-0378 Amit Mukherjee contacted PERSON-0748 Jitendra Sen via ENCRYPTED_CALL in relation to CASE-0163.
GT-0119,PERSON-0939,PERSON-0955,CONTACTED,1,CASE-0190,Synthetic telecommunication record: PERSON-0939 Harish Shukla contacted PERSON-0955 Sunil Kaur via SMS in relation to CASE-0190.
GT-0120,PERSON-0161,PERSON-0215,CONTACTED,1,CASE-0652,Synthetic telecommunication record: PERSON-0161 Vikram Verma contacted PERSON-0215 Pushpa Kaur via SMS in relation to CASE-0652.
GT-0121,PERSON-0757,PERSON-0918,CONTACTED,1,CASE-0573,Synthetic telecommunication record: PERSON-0757 Kusum Ahmed contacted PERSON-0918 Ritu Bose via WHATSAPP in relation to CASE-0573.
GT-0122,PERSON-0911,PERSON-0928,CONTACTED,1,CASE-0887,Synthetic telecommunication record: PERSON-0911 Babita Ali contacted PERSON-0928 Pushpa Ansari via ENCRYPTED_CALL in relation to CASE-0887.
GT-0123,PERSON-0274,PERSON-0865,CONTACTED,1,CASE-0532,Synthetic telecommunication record: PERSON-0274 Ajay Bhattacharya contacted PERSON-0865 Sunil Khan via ENCRYPTED_CALL in relation to CASE-0532.
GT-0124,PERSON-0116,PERSON-0510,CONTACTED,1,CASE-0100,Synthetic telecommunication record: PERSON-0116 Vivek Tiwari contacted PERSON-0510 Pankaj Pandey via WHATSAPP in relation to CASE-0100.
GT-0125,PERSON-0891,PERSON-0664,CONTACTED,1,CASE-0336,Synthetic telecommunication record: PERSON-0891 Dinesh Garg contacted PERSON-0664 Suresh Qureshi via PHONE_CALL in relation to CASE-0336.
GT-0126,PERSON-0421,PERSON-0816,CONTACTED,1,CASE-1084,Synthetic telecommunication record: PERSON-0421 Manju Roy contacted PERSON-0816 Rajesh Verma via SMS in relation to CASE-1084.
GT-0127,PERSON-0228,PERSON-0927,CONTACTED,1,CASE-0303,Synthetic telecommunication record: PERSON-0228 Rohit Bansal contacted PERSON-0927 Rakesh Mehta via ENCRYPTED_CALL in relation to CASE-0303.
GT-0128,PERSON-0464,PERSON-0136,CONTACTED,1,CASE-0948,Synthetic telecommunication record: PERSON-0464 Ramesh Ansari contacted PERSON-0136 Shashi Ahmed via ENCRYPTED_CALL in relation to CASE-0948.
GT-0129,PERSON-0699,PERSON-0332,CONTACTED,1,CASE-0820,Synthetic telecommunication record: PERSON-0699 Vijay Mishra contacted PERSON-0332 Jyoti Mukherjee via ENCRYPTED_CALL in relation to CASE-0820.
GT-0130,PERSON-0200,PERSON-0480,CONTACTED,1,CASE-0386,Synthetic telecommunication record: PERSON-0200 Sarita Ahmed contacted PERSON-0480 Sangeeta Pandey via PHONE_CALL in relation to CASE-0386.
GT-0131,PERSON-0286,PERSON-0933,CONTACTED,1,CASE-0229,Synthetic telecommunication record: PERSON-0286 Ajay Chatterjee contacted PERSON-0933 Ramesh Ahmed via PHONE_CALL in relation to CASE-0229.
GT-0132,PERSON-0948,PERSON-0782,CONTACTED,1,CASE-0096,Synthetic telecommunication record: PERSON-0948 Rakesh Goyal contacted PERSON-0782 Dharmendra Banerjee via SMS in relation to CASE-0096.
