cp_id,case_id,person_id,role,narrative
CP-0014,CASE-0769,PERSON-0004,ASSOCIATE,Ashok Shukla identified as an analytical lead in connection with Forged Documentation and Property Fraud in Delhi.
CP-0015,CASE-1127,PERSON-0004,PERSON_OF_INTEREST,Ashok Shukla identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Delhi.
CP-0016,CASE-0053,PERSON-0004,ASSOCIATE,Ashok Shukla identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Lucknow.
CP-0017,CASE-0365,PERSON-0005,PERSON_OF_INTEREST,Ashok Garg identified as an analytical lead in connection with Kidnapping and Extortion Case at Ahmedabad.
CP-0018,CASE-0669,PERSON-0005,SUSPECT,Ashok Garg identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Lucknow.
CP-0019,CASE-0071,PERSON-0005,PERSON_OF_INTEREST,Ashok Garg identified as an analytical lead in connection with Targeted Homicide Investigation in Delhi.
CP-0020,CASE-0580,PERSON-0005,SUSPECT,Ashok Garg identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Pune.
CP-0021,CASE-0664,PERSON-0005,PERSON_OF_INTEREST,Ashok Garg identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Mumbai.
CP-0022,CASE-1159,PERSON-0005,PERSON_OF_INTEREST,Ashok Garg identified as an analytical lead in connection with Threat and Extortion Racket in Kolkata.
CP-0023,CASE-1018,PERSON-0006,SUSPECT,Santosh Joshi identified as an analytical lead in connection with Forged Documentation and Property Fraud in Durg.
CP-0024,CASE-0131,PERSON-0006,SUSPECT,Santosh Joshi identified as an analytical lead in connection with Armed Robbery Incident at Nagpur.
CP-0025,CASE-0140,PERSON-0006,PERSON_OF_INTEREST,Santosh Joshi identified as an analytical lead in connection with Armed Robbery Incident at Kolkata.
CP-0026,CASE-0287,PERSON-0006,SUSPECT,Santosh Joshi identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Delhi.
CP-0027,CASE-0189,PERSON-0007,SUSPECT,Sangeeta Das identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Delhi.
CP-0028,CASE-0738,PERSON-0007,ASSOCIATE,Sangeeta Das identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Nagpur.
CP-0029,CASE-0732,PERSON-0007,ASSOCIATE,Sangeeta Das identified as an analytical lead in connection with Targeted Homicide Investigation in Howrah.
CP-0030,CASE-0693,PERSON-0007,SUSPECT,Sangeeta Das identified as an analytical lead in connection with Kidnapping and Extortion Case at Kolkata.
CP-0031,CASE-0821,PERSON-0008,PERSON_OF_INTEREST,Sanjay Jain identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Kolkata.
CP-0032,CASE-1117,PERSON-0008,SUSPECT,Sanjay Jain identified as an analytical lead in connection with Kidnapping and Extortion Case at Varanasi.
CP-0033,CASE-0128,PERSON-0008,PERSON_OF_INTEREST,Sanjay Jain identified as an analytical lead in connection with Nocturnal Commercial Burglary in Kolkata.
CP-0034,CASE-1075,PERSON-0008,SUSPECT,Sanjay Jain identified as an analytical lead in connection with Nocturnal Commercial Burglary in Kolkata.
CP-0035,CASE-0853,PERSON-0008,SUSPECT,Sanjay Jain identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Nagpur.
CP-0036,CASE-0811,PERSON-0008,ASSOCIATE,Sanjay Jain identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Nagpur.
CP-0037,CASE-0237,PERSON-0009,SUSPECT,Sunil Qureshi identified as an analytical lead in connection with Threat and Extortion Racket in Nagpur.
CP-0038,CASE-0535,PERSON-0009,PERSON_OF_INTEREST,Sunil Qureshi identified as an analytical lead in connection with Threat and Extortion Racket in Nagpur.
CP-0039,CASE-0466,PERSON-0009,PERSON_OF_INTEREST,Sunil Qureshi identified as an analytical lead in connection with Targeted Homicide Investigation in Pune.
CP-0040,CASE-0491,PERSON-0009,PERSON_OF_INTEREST,Sunil Qureshi identified as an analytical lead in connection with Forged Documentation and Property Fraud in Lucknow.
CP-0041,CASE-0108,PERSON-0010,SUSPECT,Manoj Tiwari identified as an analytical lead in connection with Targeted Homicide Investigation in Delhi.
CP-0042,CASE-0462,PERSON-0010,SUSPECT,Manoj Tiwari identified as an analytical lead in connection with Kidnapping and Extortion Case at Mumbai.
CP-0043,CASE-0981,PERSON-0010,SUSPECT,Manoj Tiwari identified as an analytical lead in connection with Threat and Extortion Racket in Kolkata.
CP-0044,CASE-0313,PERSON-0011,ASSOCIATE,Kusum Das identified as an analytical lead in connection with Kidnapping and Extortion Case at Raipur.
CP-0045,CASE-0282,PERSON-0011,ASSOCIATE,Kusum Das identified as an analytical lead in connection with Forged Documentation and Property Fraud in Bilaspur.
CP-0046,CASE-1026,PERSON-0011,PERSON_OF_INTEREST,Kusum Das identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Pune.
CP-0047,CASE-0655,PERSON-0011,PERSON_OF_INTEREST,Kusum Das identified as an analytical lead in connection with Nocturnal Commercial Burglary in Kolkata.
CP-0048,CASE-0040,PERSON-0012,PERSON_OF_INTEREST,Mukesh Khan identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Bilaspur.
CP-0049,CASE-1045,PERSON-0012,SUSPECT,Mukesh Khan identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Raipur.
CP-0050,CASE-0594,PERSON-0012,SUSPECT,Mukesh Khan identified as an analytical lead in connection with Nocturnal Commercial Burglary in Mumbai.
CP-0051,CASE-1009,PERSON-0012,SUSPECT,Mukesh Khan identified as an analytical lead in connection with Intimidation and Witness Tampering at Chennai.
CP-0052,CASE-0049,PERSON-0012,PERSON_OF_INTEREST,Mukesh Khan identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Mumbai.
CP-0053,CASE-0850,PERSON-0012,SUSPECT,Mukesh Khan identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Pune.
CP-0054,CASE-0471,PERSON-0013,ASSOCIATE,Ajay Roy identified as an analytical lead in connection with Nocturnal Commercial Burglary in Raipur.
CP-0055,CASE-1194,PERSON-0013,PERSON_OF_INTEREST,Ajay Roy identified as an analytical lead in connection with Intimidation and Witness Tampering at Lucknow.
CP-0056,CASE-1007,PERSON-0013,SUSPECT,Ajay Roy identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Raipur.
CP-0057,CASE-0015,PERSON-0013,PERSON_OF_INTEREST,Ajay Roy identified as an analytical lead in connection with Threat and Extortion Racket in Kolkata.
CP-0058,CASE-1043,PERSON-0014,PERSON_OF_INTEREST,Santosh Mittal identified as an analytical lead in connection with Threat and Extortion Racket in Varanasi.
CP-0059,CASE-0337,PERSON-0014,SUSPECT,Santosh Mittal identified as an analytical lead in connection with Forged Documentation and Property Fraud in Mumbai.
CP-0060,CASE-0814,PERSON-0014,PERSON_OF_INTEREST,Santosh Mittal identified as an analytical lead in connection with Nocturnal Commercial Burglary in Raipur.
CP-0061,CASE-0436,PERSON-0014,PERSON_OF_INTEREST,Santosh Mittal identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Nagpur.
CP-0062,CASE-0312,PERSON-0014,PERSON_OF_INTEREST,Santosh Mittal identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Kolkata.
CP-0063,CASE-0545,PERSON-0015,SUSPECT,Harish Bhattacharya identified as an analytical lead in connection with Intimidation and Witness Tampering at Kolkata.
CP-0064,CASE-1140,PERSON-0015,SUSPECT,Harish Bhattacharya identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Delhi.
CP-0065,CASE-0767,PERSON-0015,PERSON_OF_INTEREST,Harish Bhattacharya identified as an analytical lead in connection with Threat and Extortion Racket in Lucknow.
CP-0066,CASE-1047,PERSON-0015,ASSOCIATE,Harish Bhattacharya identified as an analytical lead in connection with Armed Robbery Incident at Lucknow.
CP-0067,CASE-0796,PERSON-0015,ASSOCIATE,Harish Bhattacharya identified as an analytical lead in connection with Threat and Extortion Racket in Siliguri.
CP-0068,CASE-0670,PERSON-0016,PERSON_OF_INTEREST,Abhishek Yadav identified as an analytical lead in connection with Intimidation and Witness Tampering at Surat.
CP-0069,CASE-0534,PERSON-0016,ASSOCIATE,Abhishek Yadav identified as an analytical lead in connection with Threat and Extortion Racket in Siliguri.
CP-0070,CASE-0805,PERSON-0016,ASSOCIATE,Abhishek Yadav identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Lucknow.
CP-0071,CASE-0245,PERSON-0016,SUSPECT,Abhishek Yadav identified as an analytical lead in connection with Intimidation and Witness Tampering at Kolkata.
CP-0072,CASE-1236,PERSON-0017,SUSPECT,Suresh Ansari identified as an analytical lead in connection with Nocturnal Commercial Burglary in Kolkata.
CP-0073,CASE-1049,PERSON-0017,ASSOCIATE,Suresh Ansari identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Howrah.
CP-0074,CASE-0831,PERSON-0017,SUSPECT,Suresh Ansari identified as an analytical lead in connection with Threat and Extortion Racket in Delhi.
CP-0075,CASE-0420,PERSON-0017,PERSON_OF_INTEREST,Suresh Ansari identified as an analytical lead in connection with Targeted Homicide Investigation in Varanasi.
CP-0076,CASE-0379,PERSON-0017,SUSPECT,Suresh Ansari identified as an analytical lead in connection with Targeted Homicide Investigation in Delhi.
CP-0077,CASE-0231,PERSON-0017,SUSPECT,Suresh Ansari identified as an analytical lead in connection with Targeted Homicide Investigation in Chennai.
CP-0078,CASE-0439,PERSON-0018,SUSPECT,Hemant Ahmed identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Bilaspur.
CP-0079,CASE-1215,PERSON-0018,PERSON_OF_INTEREST,Hemant Ahmed identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Delhi.
CP-0080,CASE-0622,PERSON-0018,PERSON_OF_INTEREST,Hemant Ahmed identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Lucknow.
CP-0081,CASE-0740,PERSON-0018,SUSPECT,Hemant Ahmed identified as an analytical lead in connection with Threat and Extortion Racket in Pune.
CP-0082,CASE-0950,PERSON-0018,PERSON_OF_INTEREST,Hemant Ahmed identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Howrah.
CP-0083,CASE-0445,PERSON-0019,SUSPECT,Geeta Mittal identified as an analytical lead in connection with Forged Documentation and Property Fraud in Siliguri.
CP-0084,CASE-1047,PERSON-0019,SUSPECT,Geeta Mittal identified as an analytical lead in connection with Armed Robbery Incident at Lucknow.
CP-0085,CASE-0049,PERSON-0019,ASSOCIATE,Geeta Mittal identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Mumbai.
CP-0086,CASE-0635,PERSON-0019,SUSPECT,Geeta Mittal identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Howrah.
CP-0087,CASE-0026,PERSON-0019,ASSOCIATE,Geeta Mittal identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Lucknow.
CP-0088,CASE-0671,PERSON-0020,ASSOCIATE,Pradeep Roy identified as an analytical lead in connection with Intimidation and Witness Tampering at Raipur.
CP-0089,CASE-0938,PERSON-0020,PERSON_OF_INTEREST,Pradeep Roy identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Lucknow.
CP-0090,CASE-0801,PERSON-0020,PERSON_OF_INTEREST,Pradeep Roy identified as an analytical lead in connection with Nocturnal Commercial Burglary in Durg.
CP-0091,CASE-1233,PERSON-0020,ASSOCIATE,Pradeep Roy identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Pune.
CP-0092,CASE-0339,PERSON-0020,PERSON_OF_INTEREST,Pradeep Roy identified as an analytical lead in connection with Kidnapping and Extortion Case at Kolkata.
CP-0093,CASE-1007,PERSON-0020,SUSPECT,Pradeep Roy identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Raipur.
CP-0094,CASE-0220,PERSON-0021,PERSON_OF_INTEREST,Manish Verma identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Kolkata.
CP-0095,CASE-0001,PERSON-0021,SUSPECT,Manish Verma identified as an analytical lead in connection with Nocturnal Commercial Burglary in Mumbai.
CP-0096,CASE-0064,PERSON-0021,SUSPECT,Manish Verma identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Kolkata.
CP-0097,CASE-0001,PERSON-0022,SUSPECT,Ashok Mukherjee identified as an analytical lead in connection with Nocturnal Commercial Burglary in Mumbai.
CP-0098,CASE-0622,PERSON-0022,SUSPECT,Ashok Mukherjee identified as an analytical lead in connection with Physical Assault and Grievous Hurt Case at Lucknow.
CP-0099,CASE-0912,PERSON-0022,SUSPECT,Ashok Mukherjee identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Pune.
CP-0100,CASE-0782,PERSON-0022,ASSOCIATE,Ashok Mukherjee identified as an analytical lead in connection with Forged Documentation and Property Fraud in Raipur.
CP-0101,CASE-1164,PERSON-0022,SUSPECT,Ashok Mukherjee identified as an analytical lead in connection with Threat and Extortion Racket in Nagpur.
CP-0102,CASE-0867,PERSON-0023,ASSOCIATE,Manish Kaur identified as an analytical lead in connection with Threat and Extortion Racket in Pune.
CP-0103,CASE-0764,PERSON-0023,PERSON_OF_INTEREST,Manish Kaur identified as an analytical lead in connection with Kidnapping and Extortion Case at Mumbai.
CP-0104,CASE-0156,PERSON-0023,SUSPECT,Manish Kaur identified as an analytical lead in connection with Armed Robbery Incident at Kolkata.
CP-0105,CASE-0574,PERSON-0023,ASSOCIATE,Manish Kaur identified as an analytical lead in connection with Kidnapping and Extortion Case at Durg.
CP-0106,CASE-0246,PERSON-0024,ASSOCIATE,Pankaj Bhattacharya identified as an analytical lead in connection with Kidnapping and Extortion Case at Surat.
CP-0107,CASE-0619,PERSON-0024,ASSOCIATE,Pankaj Bhattacharya identified as an analytical lead in connection with Armed Robbery Incident at Mumbai.
CP-0108,CASE-0291,PERSON-0024,SUSPECT,Pankaj Bhattacharya identified as an analytical lead in connection with Intimidation and Witness Tampering at Mumbai.
CP-0109,CASE-0063,PERSON-0025,SUSPECT,Sangeeta Hussain identified as an analytical lead in connection with Intimidation and Witness Tampering at Delhi.
CP-0110,CASE-0976,PERSON-0025,SUSPECT,Sangeeta Hussain identified as an analytical lead in connection with Nocturnal Commercial Burglary in Mumbai.
CP-0111,CASE-0358,PERSON-0025,SUSPECT,Sangeeta Hussain identified as an analytical lead in connection with Nocturnal Commercial Burglary in Surat.
CP-0112,CASE-0933,PERSON-0026,ASSOCIATE,Seema Qureshi identified as an analytical lead in connection with Threat and Extortion Racket in Delhi.
CP-0113,CASE-1188,PERSON-0026,SUSPECT,Seema Qureshi identified as an analytical lead in connection with Threat and Extortion Racket in Varanasi.
CP-0114,CASE-1142,PERSON-0026,PERSON_OF_INTEREST,Seema Qureshi identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Chennai.
CP-0115,CASE-0560,PERSON-0026,PERSON_OF_INTEREST,Seema Qureshi identified as an analytical lead in connection with Nocturnal Commercial Burglary in Delhi.
CP-0116,CASE-0130,PERSON-0027,SUSPECT,Nitin Qureshi identified as an analytical lead in connection with Armed Robbery Incident at Surat.
CP-0117,CASE-0314,PERSON-0027,SUSPECT,Nitin Qureshi identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Kolkata.
CP-0118,CASE-0442,PERSON-0027,ASSOCIATE,Nitin Qureshi identified as an analytical lead in connection with Forged Documentation and Property Fraud in Surat.
CP-0119,CASE-0134,PERSON-0027,ASSOCIATE,Nitin Qureshi identified as an analytical lead in connection with Armed Robbery Incident at Ahmedabad.
CP-0120,CASE-0815,PERSON-0027,ASSOCIATE,Nitin Qureshi identified as an analytical lead in connection with Armed Robbery Incident at Kolkata.
CP-0121,CASE-0773,PERSON-0027,ASSOCIATE,Nitin Qureshi identified as an analytical lead in connection with Nocturnal Commercial Burglary in Raipur.
CP-0122,CASE-0028,PERSON-0028,ASSOCIATE,Santosh Singh identified as an analytical lead in connection with Threat and Extortion Racket in Siliguri.
CP-0123,CASE-1182,PERSON-0028,PERSON_OF_INTEREST,Santosh Singh identified as an analytical lead in connection with Threat and Extortion Racket in Kolkata.
CP-0124,CASE-0091,PERSON-0028,ASSOCIATE,Santosh Singh identified as an analytical lead in connection with Nocturnal Commercial Burglary in Delhi.
CP-0125,CASE-0130,PERSON-0028,PERSON_OF_INTEREST,Santosh Singh identified as an analytical lead in connection with Armed Robbery Incident at Surat.
CP-0126,CASE-0416,PERSON-0029,PERSON_OF_INTEREST,Reena Shukla identified as an analytical lead in connection with Commercial Fraud and Embezzlement Syndicate at Kolkata.
CP-0127,CASE-0548,PERSON-0029,ASSOCIATE,Reena Shukla identified as an analytical lead in connection with Intimidation and Witness Tampering at Lucknow.
CP-0128,CASE-0050,PERSON-0029,SUSPECT,Reena Shukla identified as an analytical lead in connection with Targeted Homicide Investigation in Mumbai.
CP-0129,CASE-0557,PERSON-0029,PERSON_OF_INTEREST,Reena Shukla identified as an analytical lead in connection with Intimidation and Witness Tampering at Durg.
CP-0130,CASE-0386,PERSON-0029,SUSPECT,Reena Shukla identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Mumbai.
CP-0131,CASE-0481,PERSON-0029,PERSON_OF_INTEREST,Reena Shukla identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Lucknow.
CP-0132,CASE-1145,PERSON-0030,SUSPECT,Naveen Bose identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Mumbai.
CP-0133,CASE-1001,PERSON-0030,PERSON_OF_INTEREST,Naveen Bose identified as an analytical lead in connection with Serial Asset and Vehicle Theft in Raipur.
CP-0134,CASE-0475,PERSON-0030,ASSOCIATE,Naveen Bose identified as an analytical lead in connection with Kidnapping and Extortion Case at Raipur.
CP-0135,CASE-0097,PERSON-0030,ASSOCIATE,Naveen Bose identified as an analytical lead in connection with Forged Documentation and Property Fraud in Nagpur.
CP-0136,CASE-0587,PERSON-0030,ASSOCIATE,Naveen Bose identified as an analytical lead in connection with Threat and Extortion Racket in Delhi.
CP-0137,CASE-0746,PERSON-0030,PERSON_OF_INTEREST,Naveen Bose identified as an analytical lead in connection with Digital Identity Theft and Financial Scam at Mumbai.
CP-0138,CASE-0336,PERSON-0413,REPORTING_PERSON,Subject of enquiry in Threat and Extortion Racket in Mumbai under IPC 384/386.
CP-0139,CASE-0761,PERSON-0774,WITNESS,Subject of enquiry in Serial Asset and Vehicle Theft in Delhi under IPC 379.
CP-0140,CASE-1108,PERSON-0180,ACCUSED,Subject of enquiry in Serial Asset and Vehicle Theft in Kolkata under IPC 379.
CP-0141,CASE-0711,PERSON-0447,ASSOCIATE,Subject of enquiry in Armed Robbery Incident at Siliguri under IPC 392/397.
CP-0142,CASE-1189,PERSON-0442,ACCUSED,Subject of enquiry in Digital Identity Theft and Financial Scam at Bilaspur under IT Act 66D / IPC 420.
CP-0143,CASE-0958,PERSON-0386,ACCUSED,Subject of enquiry in Serial Asset and Vehicle Theft in Chennai under IPC 379.
CP-0144,CASE-0303,PERSON-0864,REPORTING_PERSON,Subject of enquiry in Kidnapping and Extortion Case at Kolkata under IPC 363/364A.
CP-0145,CASE-1013,PERSON-0722,WITNESS,Subject of enquiry in Serial Asset and Vehicle Theft in Chennai under IPC 379.
CP-0146,CASE-0836,PERSON-0399,PERSON_OF_INTEREST,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Delhi under IPC 420/406.
CP-0147,CASE-0178,PERSON-0647,ACCUSED,Subject of enquiry in Serial Asset and Vehicle Theft in Kolkata under IPC 379.
CP-0148,CASE-0282,PERSON-0371,ACCUSED,Subject of enquiry in Forged Documentation and Property Fraud in Bilaspur under IPC 467/468/471.
CP-0149,CASE-0956,PERSON-0492,WITNESS,Subject of enquiry in Serial Asset and Vehicle Theft in Surat under IPC 379.
CP-0150,CASE-0337,PERSON-0942,SUSPECT,Subject of enquiry in Forged Documentation and Property Fraud in Mumbai under IPC 467/468/471.
CP-0151,CASE-0704,PERSON-0549,REPORTING_PERSON,Subject of enquiry in Intimidation and Witness Tampering at Delhi under IPC 506.
CP-0152,CASE-0298,PERSON-0644,ACCUSED,Subject of enquiry in Serial Asset and Vehicle Theft in Howrah under IPC 379.
CP-0153,CASE-1107,PERSON-0678,REPORTING_PERSON,Subject of enquiry in Kidnapping and Extortion Case at Surat under IPC 363/364A.
CP-0154,CASE-0327,PERSON-0902,WITNESS,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Chennai under IPC 420/406.
CP-0155,CASE-0286,PERSON-0866,ASSOCIATE,Subject of enquiry in Physical Assault and Grievous Hurt Case at Surat under IPC 323/325.
CP-0156,CASE-0812,PERSON-0114,PERSON_OF_INTEREST,Subject of enquiry in Digital Identity Theft and Financial Scam at Nagpur under IT Act 66D / IPC 420.
CP-0157,CASE-0230,PERSON-0544,WITNESS,Subject of enquiry in Serial Asset and Vehicle Theft in Nagpur under IPC 379.
CP-0158,CASE-0086,PERSON-0563,SUSPECT,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Kolkata under IPC 420/406.
CP-0159,CASE-1179,PERSON-0035,ACCUSED,Subject of enquiry in Digital Identity Theft and Financial Scam at Nagpur under IT Act 66D / IPC 420.
CP-0160,CASE-1128,PERSON-0711,ASSOCIATE,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Raipur under IPC 420/406.
CP-0161,CASE-0465,PERSON-0731,REPORTING_PERSON,Subject of enquiry in Intimidation and Witness Tampering at Mumbai under IPC 506.
CP-0162,CASE-0686,PERSON-0531,SUSPECT,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Nagpur under IPC 420/406.
CP-0163,CASE-0667,PERSON-0780,ACCUSED,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Bilaspur under IPC 420/406.
CP-0164,CASE-1124,PERSON-0990,PERSON_OF_INTEREST,Subject of enquiry in Armed Robbery Incident at Delhi under IPC 392/397.
CP-0165,CASE-1072,PERSON-0703,PERSON_OF_INTEREST,Subject of enquiry in Intimidation and Witness Tampering at Bilaspur under IPC 506.
CP-0166,CASE-0449,PERSON-0621,ACCUSED,Subject of enquiry in Kidnapping and Extortion Case at Mumbai under IPC 363/364A.
CP-0167,CASE-0836,PERSON-0735,SUSPECT,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Delhi under IPC 420/406.
CP-0168,CASE-0463,PERSON-0686,REPORTING_PERSON,Subject of enquiry in Forged Documentation and Property Fraud in Chennai under IPC 467/468/471.
CP-0169,CASE-0930,PERSON-0190,REPORTING_PERSON,Subject of enquiry in Serial Asset and Vehicle Theft in Varanasi under IPC 379.
CP-0170,CASE-0386,PERSON-0764,SUSPECT,Subject of enquiry in Digital Identity Theft and Financial Scam at Mumbai under IT Act 66D / IPC 420.
CP-0171,CASE-1034,PERSON-0850,SUSPECT,Subject of enquiry in Kidnapping and Extortion Case at Nagpur under IPC 363/364A.
CP-0172,CASE-1015,PERSON-0178,SUSPECT,Subject of enquiry in Threat and Extortion Racket in Pune under IPC 384/386.
CP-0173,CASE-0628,PERSON-0278,PERSON_OF_INTEREST,Subject of enquiry in Kidnapping and Extortion Case at Siliguri under IPC 363/364A.
CP-0174,CASE-0621,PERSON-0876,ASSOCIATE,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Lucknow under IPC 420/406.
CP-0175,CASE-1110,PERSON-0684,SUSPECT,Subject of enquiry in Forged Documentation and Property Fraud in Kolkata under IPC 467/468/471.
CP-0176,CASE-0392,PERSON-0055,SUSPECT,Subject of enquiry in Nocturnal Commercial Burglary in Ahmedabad under IPC 457/380.
CP-0177,CASE-0064,PERSON-0333,SUSPECT,Subject of enquiry in Digital Identity Theft and Financial Scam at Kolkata under IT Act 66D / IPC 420.
CP-0178,CASE-0425,PERSON-0221,REPORTING_PERSON,Subject of enquiry in Forged Documentation and Property Fraud in Kolkata under IPC 467/468/471.
CP-0179,CASE-0147,PERSON-0099,ACCUSED,Subject of enquiry in Nocturnal Commercial Burglary in Mumbai under IPC 457/380.
CP-0180,CASE-0927,PERSON-0152,PERSON_OF_INTEREST,Subject of enquiry in Armed Robbery Incident at Chennai under IPC 392/397.
CP-0181,CASE-0733,PERSON-0708,PERSON_OF_INTEREST,Subject of enquiry in Physical Assault and Grievous Hurt Case at Delhi under IPC 323/325.
CP-0182,CASE-0022,PERSON-0745,WITNESS,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Varanasi under IPC 420/406.
CP-0183,CASE-0615,PERSON-0382,PERSON_OF_INTEREST,Subject of enquiry in Kidnapping and Extortion Case at Varanasi under IPC 363/364A.
CP-0184,CASE-0768,PERSON-0244,ACCUSED,Subject of enquiry in Digital Identity Theft and Financial Scam at Delhi under IT Act 66D / IPC 420.
CP-0185,CASE-0878,PERSON-0665,WITNESS,Subject of enquiry in Physical Assault and Grievous Hurt Case at Kolkata under IPC 323/325.
CP-0186,CASE-0980,PERSON-0681,WITNESS,Subject of enquiry in Digital Identity Theft and Financial Scam at Ahmedabad under IT Act 66D / IPC 420.
CP-0187,CASE-1216,PERSON-0073,REPORTING_PERSON,Subject of enquiry in Kidnapping and Extortion Case at Delhi under IPC 363/364A.
CP-0188,CASE-1007,PERSON-0063,PERSON_OF_INTEREST,Subject of enquiry in Serial Asset and Vehicle Theft in Raipur under IPC 379.
CP-0189,CASE-0655,PERSON-0390,SUSPECT,Subject of enquiry in Nocturnal Commercial Burglary in Kolkata under IPC 457/380.
CP-0190,CASE-0524,PERSON-0748,PERSON_OF_INTEREST,Subject of enquiry in Commercial Fraud and Embezzlement Syndicate at Raipur under IPC 420/406.
CP-0191,CASE-0786,PERSON-0801,WITNESS,Subject of enquiry in Intimidation and Witness Tampering at Varanasi under IPC 506.
CP-0192,CASE-0201,PERSON-0463,REPORTING_PERSON,Subject of enquiry in Nocturnal Commercial Burglary in Delhi under IPC 457/380.
