case_id,fir_number,offence_category,title,legal_section,year,location,district,police_station,status
CASE-0130,FIR-2022-0130,Robbery,Armed Robbery Incident at Surat,IPC 392/397,2022,Surat,Surat,Varachha,OPEN
CASE-0131,FIR-2022-0131,Robbery,Armed Robbery Incident at Nagpur,IPC 392/397,2022,Nagpur,Nagpur,Sitabuldi,CLOSED
CASE-0132,FIR-2024-0132,Extortion,Threat and Extortion Racket in Pune,IPC 384/386,2024,Pune,Pune,Shivajinagar,CLOSED
CASE-0133,FIR-2022-0133,Assault,Physical Assault and Grievous Hurt Case at Howrah,IPC 323/325,2022,Howrah,Howrah,Howrah Town,OPEN
CASE-0134,FIR-2021-0134,Robbery,Armed Robbery Incident at Ahmedabad,IPC 392/397,2021,Ahmedabad,Ahmedabad,Ellis Bridge,OPEN
CASE-0135,FIR-2021-0135,Cybercrime,Digital Identity Theft and Financial Scam at Delhi,IT Act 66D / IPC 420,2021,Delhi,East Delhi,Preet Vihar,CLOSED
CASE-0136,FIR-2022-0136,Extortion,Threat and Extortion Racket in Durg,IPC 384/386,2022,Durg,Durg,Durg Sadar,CLOSED
CASE-0137,FIR-2022-0137,Criminal Intimidation,Intimidation and Witness Tampering at Siliguri,IPC 506,2022,Siliguri,Darjeeling,Siliguri PS,CLOSED
CASE-0138,FIR-2023-0138,Assault,Physical Assault and Grievous Hurt Case at Surat,IPC 323/325,2023,Surat,Surat,Varachha,OPEN
CASE-0139,FIR-2023-0139,Cybercrime,Digital Identity Theft and Financial Scam at Pune,IT Act 66D / IPC 420,2023,Pune,Pune,Shivajinagar,OPEN
CASE-0140,FIR-2024-0140,Robbery,Armed Robbery Incident at Kolkata,IPC 392/397,2024,Kolkata,Kolkata,Ballygunge,OPEN
CASE-0141,FIR-2021-0141,Murder,Targeted Homicide Investigation in Varanasi,IPC 302/120B,2021,Varanasi,Varanasi,Dashashwamedh,CLOSED
CASE-0142,FIR-2021-0142,Murder,Targeted Homicide Investigation in Ahmedabad,IPC 302/120B,2021,Ahmedabad,Ahmedabad,Ellis Bridge,CLOSED
CASE-0143,FIR-2021-0143,Cybercrime,Digital Identity Theft and Financial Scam at Mumbai,IT Act 66D / IPC 420,2021,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0144,FIR-2022-0144,Burglary,Nocturnal Commercial Burglary in Pune,IPC 457/380,2022,Pune,Pune,Shivajinagar,CLOSED
CASE-0145,FIR-2023-0145,Cybercrime,Digital Identity Theft and Financial Scam at Kolkata,IT Act 66D / IPC 420,2023,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0146,FIR-2021-0146,Theft,Serial Asset and Vehicle Theft in Kolkata,IPC 379,2021,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0147,FIR-2024-0147,Burglary,Nocturnal Commercial Burglary in Mumbai,IPC 457/380,2024,Mumbai,Mumbai City,Colaba,CLOSED
CASE-0148,FIR-2021-0148,Burglary,Nocturnal Commercial Burglary in Siliguri,IPC 457/380,2021,Siliguri,Darjeeling,Siliguri PS,CLOSED
CASE-0149,FIR-2023-0149,Burglary,Nocturnal Commercial Burglary in Kolkata,IPC 457/380,2023,Kolkata,Kolkata,Ballygunge,CLOSED
CASE-0150,FIR-2022-0150,Robbery,Armed Robbery Incident at Delhi,IPC 392/397,2022,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0151,FIR-2023-0151,Assault,Physical Assault and Grievous Hurt Case at Varanasi,IPC 323/325,2023,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0152,FIR-2024-0152,Criminal Intimidation,Intimidation and Witness Tampering at Delhi,IPC 506,2024,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0153,FIR-2021-0153,Criminal Intimidation,Intimidation and Witness Tampering at Kolkata,IPC 506,2021,Kolkata,Kolkata,Ballygunge,CLOSED
CASE-0154,FIR-2021-0154,Forgery,Forged Documentation and Property Fraud in Chennai,IPC 467/468/471,2021,Chennai,Chennai,Flower Bazaar,OPEN
CASE-0155,FIR-2024-0155,Extortion,Threat and Extortion Racket in Mumbai,IPC 384/386,2024,Mumbai,Mumbai Suburban,Bandra,OPEN
CASE-0156,FIR-2022-0156,Robbery,Armed Robbery Incident at Kolkata,IPC 392/397,2022,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0157,FIR-2023-0157,Burglary,Nocturnal Commercial Burglary in Kolkata,IPC 457/380,2023,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0158,FIR-2024-0158,Criminal Intimidation,Intimidation and Witness Tampering at Chennai,IPC 506,2024,Chennai,Chennai,Flower Bazaar,OPEN
CASE-0159,FIR-2024-0159,Cybercrime,Digital Identity Theft and Financial Scam at Howrah,IT Act 66D / IPC 420,2024,Howrah,Howrah,Howrah Town,CLOSED
CASE-0160,FIR-2023-0160,Forgery,Forged Documentation and Property Fraud in Delhi,IPC 467/468/471,2023,Delhi,Central Delhi,Connaught Place,OPEN
CASE-0161,FIR-2024-0161,Theft,Serial Asset and Vehicle Theft in Varanasi,IPC 379,2024,Varanasi,Varanasi,Dashashwamedh,OPEN
CASE-0162,FIR-2023-0162,Burglary,Nocturnal Commercial Burglary in Howrah,IPC 457/380,2023,Howrah,Howrah,Howrah Town,OPEN
CASE-0163,FIR-2024-0163,Assault,Physical Assault and Grievous Hurt Case at Siliguri,IPC 323/325,2024,Siliguri,Darjeeling,Siliguri PS,OPEN
CASE-0164,FIR-2021-0164,Forgery,Forged Documentation and Property Fraud in Pune,IPC 467/468/471,2021,Pune,Pune,Shivajinagar,CLOSED
CASE-0165,FIR-2023-0165,Robbery,Armed Robbery Incident at Kolkata,IPC 392/397,2023,Kolkata,Kolkata,Ballygunge,CLOSED
CASE-0166,FIR-2021-0166,Burglary,Nocturnal Commercial Burglary in Bilaspur,IPC 457/380,2021,Bilaspur,Bilaspur,City Kotwali,OPEN
CASE-0167,FIR-2023-0167,Kidnapping,Kidnapping and Extortion Case at Delhi,IPC 363/364A,2023,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0168,FIR-2022-0168,Cybercrime,Digital Identity Theft and Financial Scam at Kolkata,IT Act 66D / IPC 420,2022,Kolkata,Kolkata,Burrabazar,OPEN
CASE-0169,FIR-2023-0169,Robbery,Armed Robbery Incident at Kolkata,IPC 392/397,2023,Kolkata,Kolkata,Burrabazar,CLOSED
CASE-0170,FIR-2022-0170,Burglary,Nocturnal Commercial Burglary in Delhi,IPC 457/380,2022,Delhi,South Delhi,Hauz Khas,CLOSED
CASE-0171,FIR-2021-0171,Fraud,Commercial Fraud and Embezzlement Syndicate at Raipur,IPC 420/406,2021,Raipur,Raipur,Civil Lines,OPEN
CASE-0172,FIR-2023-0172,Robbery,Armed Robbery Incident at Pune,IPC 392/397,2023,Pune,Pune,Shivajinagar,OPEN
CASE-0173,FIR-2024-0173,Theft,Serial Asset and Vehicle Theft in Delhi,IPC 379,2024,Delhi,South Delhi,Hauz Khas,OPEN
CASE-0174,FIR-2023-0174,Cybercrime,Digital Identity Theft and Financial Scam at Delhi,IT Act 66D / IPC 420,2023,Delhi,South Delhi,Hauz Khas,CLOSED
CASE-0175,FIR-2021-0175,Murder,Targeted Homicide Investigation in Delhi,IPC 302/120B,2021,Delhi,Central Delhi,Connaught Place,OPEN
