transaction_id,case_id,source_person_id,target_person_id,source_account_id,target_account_id,amount,description
TXN-0014,CASE-0097,PERSON-0380,PERSON-0324,BANK-0380,BANK-0324,50000,Synthetic transaction record: PERSON-0380 transferred INR 50000 to PERSON-0324 linked to CASE-0097.
TXN-0015,CASE-1148,PERSON-0883,PERSON-0436,BANK-0433,BANK-0436,150000,Synthetic transaction record: PERSON-0883 transferred INR 150000 to PERSON-0436 linked to CASE-1148.
TXN-0016,CASE-1199,PERSON-0213,PERSON-0227,BANK-0213,BANK-0227,75000,Synthetic transaction record: PERSON-0213 transferred INR 75000 to PERSON-0227 linked to CASE-1199.
TXN-0017,CASE-0184,PERSON-0644,PERSON-0849,BANK-0194,BANK-0399,500000,Synthetic transaction record: PERSON-0644 transferred INR 500000 to PERSON-0849 linked to CASE-0184.
TXN-0018,CASE-0642,PERSON-0763,PERSON-0517,BANK-0313,BANK-0067,250000,Synthetic transaction record: PERSON-0763 transferred INR 250000 to PERSON-0517 linked to CASE-0642.
TXN-0019,CASE-0043,PERSON-0773,PERSON-0740,BANK-0323,BANK-0290,150000,Synthetic transaction record: PERSON-0773 transferred INR 150000 to PERSON-0740 linked to CASE-0043.
TXN-0020,CASE-0025,PERSON-0788,PERSON-0857,BANK-0338,BANK-0407,500000,Synthetic transaction record: PERSON-0788 transferred INR 500000 to PERSON-0857 linked to CASE-0025.
TXN-0021,CASE-0653,PERSON-0200,PERSON-0130,BANK-0200,BANK-0130,500000,Synthetic transaction record: PERSON-0200 transferred INR 500000 to PERSON-0130 linked to CASE-0653.
TXN-0022,CASE-0809,PERSON-0021,PERSON-0765,BANK-0021,BANK-0315,500000,Synthetic transaction record: PERSON-0021 transferred INR 500000 to PERSON-0765 linked to CASE-0809.
TXN-0023,CASE-0249,PERSON-0125,PERSON-0590,BANK-0125,BANK-0140,50000,Synthetic transaction record: PERSON-0125 transferred INR 50000 to PERSON-0590 linked to CASE-0249.
TXN-0024,CASE-1198,PERSON-0082,PERSON-0011,BANK-0082,BANK-0011,50000,Synthetic transaction record: PERSON-0082 transferred INR 50000 to PERSON-0011 linked to CASE-1198.
TXN-0025,CASE-1091,PERSON-0129,PERSON-0874,BANK-0129,BANK-0424,250000,Synthetic transaction record: PERSON-0129 transferred INR 250000 to PERSON-0874 linked to CASE-1091.
TXN-0026,CASE-0972,PERSON-0315,PERSON-0138,BANK-0315,BANK-0138,500000,Synthetic transaction record: PERSON-0315 transferred INR 500000 to PERSON-0138 linked to CASE-0972.
TXN-0027,CASE-0646,PERSON-0358,PERSON-0125,BANK-0358,BANK-0125,50000,Synthetic transaction record: PERSON-0358 transferred INR 50000 to PERSON-0125 linked to CASE-0646.
TXN-0028,CASE-0874,PERSON-0044,PERSON-0588,BANK-0044,BANK-0138,25000,Synthetic transaction record: PERSON-0044 transferred INR 25000 to PERSON-0588 linked to CASE-0874.
TXN-0029,CASE-1088,PERSON-0336,PERSON-0847,BANK-0336,BANK-0397,250000,Synthetic transaction record: PERSON-0336 transferred INR 250000 to PERSON-0847 linked to CASE-1088.
TXN-0030,CASE-0207,PERSON-0877,PERSON-0515,BANK-0427,BANK-0065,500000,Synthetic transaction record: PERSON-0877 transferred INR 500000 to PERSON-0515 linked to CASE-0207.
TXN-0031,CASE-0252,PERSON-0044,PERSON-0291,BANK-0044,BANK-0291,75000,Synthetic transaction record: PERSON-0044 transferred INR 75000 to PERSON-0291 linked to CASE-0252.
TXN-0032,CASE-0125,PERSON-0901,PERSON-0139,BANK-0001,BANK-0139,75000,Synthetic transaction record: PERSON-0901 transferred INR 75000 to PERSON-0139 linked to CASE-0125.
TXN-0033,CASE-0435,PERSON-0732,PERSON-0473,BANK-0282,BANK-0023,50000,Synthetic transaction record: PERSON-0732 transferred INR 50000 to PERSON-0473 linked to CASE-0435.
TXN-0034,CASE-0821,PERSON-0072,PERSON-0928,BANK-0072,BANK-0028,75000,Synthetic transaction record: PERSON-0072 transferred INR 75000 to PERSON-0928 linked to CASE-0821.
TXN-0035,CASE-1088,PERSON-0509,PERSON-0211,BANK-0059,BANK-0211,150000,Synthetic transaction record: PERSON-0509 transferred INR 150000 to PERSON-0211 linked to CASE-1088.
TXN-0036,CASE-0824,PERSON-0144,PERSON-0937,BANK-0144,BANK-0037,150000,Synthetic transaction record: PERSON-0144 transferred INR 150000 to PERSON-0937 linked to CASE-0824.
TXN-0037,CASE-0162,PERSON-0223,PERSON-0707,BANK-0223,BANK-0257,75000,Synthetic transaction record: PERSON-0223 transferred INR 75000 to PERSON-0707 linked to CASE-0162.
TXN-0038,CASE-1044,PERSON-0738,PERSON-0614,BANK-0288,BANK-0164,150000,Synthetic transaction record: PERSON-0738 transferred INR 150000 to PERSON-0614 linked to CASE-1044.
TXN-0039,CASE-1164,PERSON-0252,PERSON-0215,BANK-0252,BANK-0215,75000,Synthetic transaction record: PERSON-0252 transferred INR 75000 to PERSON-0215 linked to CASE-1164.
TXN-0040,CASE-0496,PERSON-0818,PERSON-0634,BANK-0368,BANK-0184,25000,Synthetic transaction record: PERSON-0818 transferred INR 25000 to PERSON-0634 linked to CASE-0496.
TXN-0041,CASE-0015,PERSON-0642,PERSON-0342,BANK-0192,BANK-0342,250000,Synthetic transaction record: PERSON-0642 transferred INR 250000 to PERSON-0342 linked to CASE-0015.
TXN-0042,CASE-0659,PERSON-0999,PERSON-0895,BANK-0099,BANK-0445,150000,Synthetic transaction record: PERSON-0999 transferred INR 150000 to PERSON-0895 linked to CASE-0659.
TXN-0043,CASE-0186,PERSON-0376,PERSON-0649,BANK-0376,BANK-0199,75000,Synthetic transaction record: PERSON-0376 transferred INR 75000 to PERSON-0649 linked to CASE-0186.
TXN-0044,CASE-0923,PERSON-0682,PERSON-0253,BANK-0232,BANK-0253,25000,Synthetic transaction record: PERSON-0682 transferred INR 25000 to PERSON-0253 linked to CASE-0923.
TXN-0045,CASE-0685,PERSON-0882,PERSON-0396,BANK-0432,BANK-0396,150000,Synthetic transaction record: PERSON-0882 transferred INR 150000 to PERSON-0396 linked to CASE-0685.
TXN-0046,CASE-0491,PERSON-0599,PERSON-0500,BANK-0149,BANK-0050,250000,Synthetic transaction record: PERSON-0599 transferred INR 250000 to PERSON-0500 linked to CASE-0491.
TXN-0047,CASE-0381,PERSON-0366,PERSON-0356,BANK-0366,BANK-0356,25000,Synthetic transaction record: PERSON-0366 transferred INR 25000 to PERSON-0356 linked to CASE-0381.
TXN-0048,CASE-0208,PERSON-0389,PERSON-0298,BANK-0389,BANK-0298,50000,Synthetic transaction record: PERSON-0389 transferred INR 50000 to PERSON-0298 linked to CASE-0208.
TXN-0049,CASE-0805,PERSON-0980,PERSON-0696,BANK-0080,BANK-0246,250000,Synthetic transaction record: PERSON-0980 transferred INR 250000 to PERSON-0696 linked to CASE-0805.
TXN-0050,CASE-0088,PERSON-0676,PERSON-0138,BANK-0226,BANK-0138,250000,Synthetic transaction record: PERSON-0676 transferred INR 250000 to PERSON-0138 linked to CASE-0088.
TXN-0051,CASE-0492,PERSON-0483,PERSON-0498,BANK-0033,BANK-0048,50000,Synthetic transaction record: PERSON-0483 transferred INR 50000 to PERSON-0498 linked to CASE-0492.
TXN-0052,CASE-0936,PERSON-0029,PERSON-0876,BANK-0029,BANK-0426,50000,Synthetic transaction record: PERSON-0029 transferred INR 50000 to PERSON-0876 linked to CASE-0936.
TXN-0053,CASE-1116,PERSON-0609,PERSON-0432,BANK-0159,BANK-0432,500000,Synthetic transaction record: PERSON-0609 transferred INR 500000 to PERSON-0432 linked to CASE-1116.
TXN-0054,CASE-0775,PERSON-0420,PERSON-0005,BANK-0420,BANK-0005,75000,Synthetic transaction record: PERSON-0420 transferred INR 75000 to PERSON-0005 linked to CASE-0775.
TXN-0055,CASE-0511,PERSON-0303,PERSON-0182,BANK-0303,BANK-0182,250000,Synthetic transaction record: PERSON-0303 transferred INR 250000 to PERSON-0182 linked to CASE-0511.
TXN-0056,CASE-0169,PERSON-0387,PERSON-0827,BANK-0387,BANK-0377,75000,Synthetic transaction record: PERSON-0387 transferred INR 75000 to PERSON-0827 linked to CASE-0169.
TXN-0057,CASE-0526,PERSON-0071,PERSON-0837,BANK-0071,BANK-0387,500000,Synthetic transaction record: PERSON-0071 transferred INR 500000 to PERSON-0837 linked to CASE-0526.
TXN-0058,CASE-0845,PERSON-0079,PERSON-0036,BANK-0079,BANK-0036,25000,Synthetic transaction record: PERSON-0079 transferred INR 25000 to PERSON-0036 linked to CASE-0845.
TXN-0059,CASE-0946,PERSON-0982,PERSON-0972,BANK-0082,BANK-0072,75000,Synthetic transaction record: PERSON-0982 transferred INR 75000 to PERSON-0972 linked to CASE-0946.
TXN-0060,CASE-0420,PERSON-0343,PERSON-0549,BANK-0343,BANK-0099,500000,Synthetic transaction record: PERSON-0343 transferred INR 500000 to PERSON-0549 linked to CASE-0420.
TXN-0061,CASE-0614,PERSON-0420,PERSON-0849,BANK-0420,BANK-0399,75000,Synthetic transaction record: PERSON-0420 transferred INR 75000 to PERSON-0849 linked to CASE-0614.
TXN-0062,CASE-0088,PERSON-0999,PERSON-0383,BANK-0099,BANK-0383,25000,Synthetic transaction record: PERSON-0999 transferred INR 25000 to PERSON-0383 linked to CASE-0088.
TXN-0063,CASE-0077,PERSON-0194,PERSON-0686,BANK-0194,BANK-0236,250000,Synthetic transaction record: PERSON-0194 transferred INR 250000 to PERSON-0686 linked to CASE-0077.
TXN-0064,CASE-1120,PERSON-0002,PERSON-0139,BANK-0002,BANK-0139,150000,Synthetic transaction record: PERSON-0002 transferred INR 150000 to PERSON-0139 linked to CASE-1120.
TXN-0065,CASE-0439,PERSON-0009,PERSON-0271,BANK-0009,BANK-0271,50000,Synthetic transaction record: PERSON-0009 transferred INR 50000 to PERSON-0271 linked to CASE-0439.
TXN-0066,CASE-0997,PERSON-0430,PERSON-0214,BANK-0430,BANK-0214,150000,Synthetic transaction record: PERSON-0430 transferred INR 150000 to PERSON-0214 linked to CASE-0997.
TXN-0067,CASE-0276,PERSON-0957,PERSON-0878,BANK-0057,BANK-0428,250000,Synthetic transaction record: PERSON-0957 transferred INR 250000 to PERSON-0878 linked to CASE-0276.
TXN-0068,CASE-0210,PERSON-0270,PERSON-0649,BANK-0270,BANK-0199,75000,Synthetic transaction record: PERSON-0270 transferred INR 75000 to PERSON-0649 linked to CASE-0210.
TXN-0069,CASE-0555,PERSON-0465,PERSON-0119,BANK-0015,BANK-0119,250000,Synthetic transaction record: PERSON-0465 transferred INR 250000 to PERSON-0119 linked to CASE-0555.
TXN-0070,CASE-1186,PERSON-0236,PERSON-0607,BANK-0236,BANK-0157,75000,Synthetic transaction record: PERSON-0236 transferred INR 75000 to PERSON-0607 linked to CASE-1186.
TXN-0071,CASE-0433,PERSON-0949,PERSON-0023,BANK-0049,BANK-0023,250000,Synthetic transaction record: PERSON-0949 transferred INR 250000 to PERSON-0023 linked to CASE-0433.
TXN-0072,CASE-0844,PERSON-0589,PERSON-0817,BANK-0139,BANK-0367,25000,Synthetic transaction record: PERSON-0589 transferred INR 25000 to PERSON-0817 linked to CASE-0844.
TXN-0073,CASE-0857,PERSON-0508,PERSON-0412,BANK-0058,BANK-0412,75000,Synthetic transaction record: PERSON-0508 transferred INR 75000 to PERSON-0412 linked to CASE-0857.
TXN-0074,CASE-1243,PERSON-0642,PERSON-0989,BANK-0192,BANK-0089,500000,Synthetic transaction record: PERSON-0642 transferred INR 500000 to PERSON-0989 linked to CASE-1243.
TXN-0075,CASE-0008,PERSON-0584,PERSON-0178,BANK-0134,BANK-0178,50000,Synthetic transaction record: PERSON-0584 transferred INR 50000 to PERSON-0178 linked to CASE-0008.
TXN-0076,CASE-1036,PERSON-0550,PERSON-0782,BANK-0100,BANK-0332,75000,Synthetic transaction record: PERSON-0550 transferred INR 75000 to PERSON-0782 linked to CASE-1036.
TXN-0077,CASE-1043,PERSON-0466,PERSON-0784,BANK-0016,BANK-0334,75000,Synthetic transaction record: PERSON-0466 transferred INR 75000 to PERSON-0784 linked to CASE-1043.
TXN-0078,CASE-0656,PERSON-0773,PERSON-0984,BANK-0323,BANK-0084,75000,Synthetic transaction record: PERSON-0773 transferred INR 75000 to PERSON-0984 linked to CASE-0656.
TXN-0079,CASE-0230,PERSON-0877,PERSON-0724,BANK-0427,BANK-0274,50000,Synthetic transaction record: PERSON-0877 transferred INR 50000 to PERSON-0724 linked to CASE-0230.
TXN-0080,CASE-0674,PERSON-0551,PERSON-0767,BANK-0101,BANK-0317,150000,Synthetic transaction record: PERSON-0551 transferred INR 150000 to PERSON-0767 linked to CASE-0674.
TXN-0081,CASE-0279,PERSON-0867,PERSON-0503,BANK-0417,BANK-0053,25000,Synthetic transaction record: PERSON-0867 transferred INR 25000 to PERSON-0503 linked to CASE-0279.
TXN-0082,CASE-0929,PERSON-0273,PERSON-0910,BANK-0273,BANK-0010,50000,Synthetic transaction record: PERSON-0273 transferred INR 50000 to PERSON-0910 linked to CASE-0929.
TXN-0083,CASE-0044,PERSON-0658,PERSON-0992,BANK-0208,BANK-0092,150000,Synthetic transaction record: PERSON-0658 transferred INR 150000 to PERSON-0992 linked to CASE-0044.
TXN-0084,CASE-1133,PERSON-0983,PERSON-0574,BANK-0083,BANK-0124,25000,Synthetic transaction record: PERSON-0983 transferred INR 25000 to PERSON-0574 linked to CASE-1133.
TXN-0085,CASE-0217,PERSON-0776,PERSON-0393,BANK-0326,BANK-0393,75000,Synthetic transaction record: PERSON-0776 transferred INR 75000 to PERSON-0393 linked to CASE-0217.
TXN-0086,CASE-0072,PERSON-0208,PERSON-0313,BANK-0208,BANK-0313,50000,Synthetic transaction record: PERSON-0208 transferred INR 50000 to PERSON-0313 linked to CASE-0072.
TXN-0087,CASE-1210,PERSON-0516,PERSON-0779,BANK-0066,BANK-0329,250000,Synthetic transaction record: PERSON-0516 transferred INR 250000 to PERSON-0779 linked to CASE-1210.
TXN-0088,CASE-0134,PERSON-0520,PERSON-0506,BANK-0070,BANK-0056,50000,Synthetic transaction record: PERSON-0520 transferred INR 50000 to PERSON-0506 linked to CASE-0134.
TXN-0089,CASE-1124,PERSON-0482,PERSON-0454,BANK-0032,BANK-0004,500000,Synthetic transaction record: PERSON-0482 transferred INR 500000 to PERSON-0454 linked to CASE-1124.
TXN-0090,CASE-0736,PERSON-0985,PERSON-0525,BANK-0085,BANK-0075,50000,Synthetic transaction record: PERSON-0985 transferred INR 50000 to PERSON-0525 linked to CASE-0736.
TXN-0091,CASE-0480,PERSON-0220,PERSON-0415,BANK-0220,BANK-0415,75000,Synthetic transaction record: PERSON-0220 transferred INR 75000 to PERSON-0415 linked to CASE-0480.
TXN-0092,CASE-0973,PERSON-0461,PERSON-0015,BANK-0011,BANK-0015,75000,Synthetic transaction record: PERSON-0461 transferred INR 75000 to PERSON-0015 linked to CASE-0973.
TXN-0093,CASE-0194,PERSON-0239,PERSON-0735,BANK-0239,BANK-0285,25000,Synthetic transaction record: PERSON-0239 transferred INR 25000 to PERSON-0735 linked to CASE-0194.
TXN-0094,CASE-1240,PERSON-0013,PERSON-0638,BANK-0013,BANK-0188,25000,Synthetic transaction record: PERSON-0013 transferred INR 25000 to PERSON-0638 linked to CASE-1240.
TXN-0095,CASE-0715,PERSON-0198,PERSON-0525,BANK-0198,BANK-0075,500000,Synthetic transaction record: PERSON-0198 transferred INR 500000 to PERSON-0525 linked to CASE-0715.
TXN-0096,CASE-0859,PERSON-0993,PERSON-0024,BANK-0093,BANK-0024,50000,Synthetic transaction record: PERSON-0993 transferred INR 50000 to PERSON-0024 linked to CASE-0859.
TXN-0097,CASE-1117,PERSON-0131,PERSON-0406,BANK-0131,BANK-0406,50000,Synthetic transaction record: PERSON-0131 transferred INR 50000 to PERSON-0406 linked to CASE-1117.
TXN-0098,CASE-0715,PERSON-0271,PERSON-0807,BANK-0271,BANK-0357,50000,Synthetic transaction record: PERSON-0271 transferred INR 50000 to PERSON-0807 linked to CASE-0715.
TXN-0099,CASE-0081,PERSON-0947,PERSON-0269,BANK-0047,BANK-0269,25000,Synthetic transaction record: PERSON-0947 transferred INR 25000 to PERSON-0269 linked to CASE-0081.
TXN-0100,CASE-0349,PERSON-0884,PERSON-0891,BANK-0434,BANK-0441,50000,Synthetic transaction record: PERSON-0884 transferred INR 50000 to PERSON-0891 linked to CASE-0349.
TXN-0101,CASE-0175,PERSON-0626,PERSON-0036,BANK-0176,BANK-0036,500000,Synthetic transaction record: PERSON-0626 transferred INR 500000 to PERSON-0036 linked to CASE-0175.
TXN-0102,CASE-0730,PERSON-0462,PERSON-0473,BANK-0012,BANK-0023,50000,Synthetic transaction record: PERSON-0462 transferred INR 50000 to PERSON-0473 linked to CASE-0730.
TXN-0103,CASE-0015,PERSON-0275,PERSON-0777,BANK-0275,BANK-0327,75000,Synthetic transaction record: PERSON-0275 transferred INR 75000 to PERSON-0777 linked to CASE-0015.
TXN-0104,CASE-0136,PERSON-0021,PERSON-0058,BANK-0021,BANK-0058,500000,Synthetic transaction record: PERSON-0021 transferred INR 500000 to PERSON-0058 linked to CASE-0136.
TXN-0105,CASE-1014,PERSON-0707,PERSON-0606,BANK-0257,BANK-0156,500000,Synthetic transaction record: PERSON-0707 transferred INR 500000 to PERSON-0606 linked to CASE-1014.
TXN-0106,CASE-0558,PERSON-0103,PERSON-0579,BANK-0103,BANK-0129,50000,Synthetic transaction record: PERSON-0103 transferred INR 50000 to PERSON-0579 linked to CASE-0558.
TXN-0107,CASE-0327,PERSON-0278,PERSON-0381,BANK-0278,BANK-0381,50000,Synthetic transaction record: PERSON-0278 transferred INR 50000 to PERSON-0381 linked to CASE-0327.
TXN-0108,CASE-1129,PERSON-0659,PERSON-0078,BANK-0209,BANK-0078,25000,Synthetic transaction record: PERSON-0659 transferred INR 25000 to PERSON-0078 linked to CASE-1129.
TXN-0109,CASE-0989,PERSON-0732,PERSON-0631,BANK-0282,BANK-0181,75000,Synthetic transaction record: PERSON-0732 transferred INR 75000 to PERSON-0631 linked to CASE-0989.
TXN-0110,CASE-0203,PERSON-0978,PERSON-0650,BANK-0078,BANK-0200,50000,Synthetic transaction record: PERSON-0978 transferred INR 50000 to PERSON-0650 linked to CASE-0203.
TXN-0111,CASE-0296,PERSON-0769,PERSON-0284,BANK-0319,BANK-0284,250000,Synthetic transaction record: PERSON-0769 transferred INR 250000 to PERSON-0284 linked to CASE-0296.
TXN-0112,CASE-0954,PERSON-0029,PERSON-0602,BANK-0029,BANK-0152,500000,Synthetic transaction record: PERSON-0029 transferred INR 500000 to PERSON-0602 linked to CASE-0954.
TXN-0113,CASE-1143,PERSON-0487,PERSON-0155,BANK-0037,BANK-0155,500000,Synthetic transaction record: PERSON-0487 transferred INR 500000 to PERSON-0155 linked to CASE-1143.
TXN-0114,CASE-0799,PERSON-0262,PERSON-0887,BANK-0262,BANK-0437,250000,Synthetic transaction record: PERSON-0262 transferred INR 250000 to PERSON-0887 linked to CASE-0799.
TXN-0115,CASE-0834,PERSON-0210,PERSON-0188,BANK-0210,BANK-0188,50000,Synthetic transaction record: PERSON-0210 transferred INR 50000 to PERSON-0188 linked to CASE-0834.
TXN-0116,CASE-0765,PERSON-0081,PERSON-0508,BANK-0081,BANK-0058,75000,Synthetic transaction record: PERSON-0081 transferred INR 75000 to PERSON-0508 linked to CASE-0765.
TXN-0117,CASE-0296,PERSON-0190,PERSON-0297,BANK-0190,BANK-0297,25000,Synthetic transaction record: PERSON-0190 transferred INR 25000 to PERSON-0297 linked to CASE-0296.
TXN-0118,CASE-0543,PERSON-0853,PERSON-0912,BANK-0403,BANK-0012,500000,Synthetic transaction record: PERSON-0853 transferred INR 500000 to PERSON-0912 linked to CASE-0543.
TXN-0119,CASE-0439,PERSON-0177,PERSON-0430,BANK-0177,BANK-0430,25000,Synthetic transaction record: PERSON-0177 transferred INR 25000 to PERSON-0430 linked to CASE-0439.
TXN-0120,CASE-0221,PERSON-0547,PERSON-0849,BANK-0097,BANK-0399,250000,Synthetic transaction record: PERSON-0547 transferred INR 250000 to PERSON-0849 linked to CASE-0221.
TXN-0121,CASE-0106,PERSON-0037,PERSON-0198,BANK-0037,BANK-0198,75000,Synthetic transaction record: PERSON-0037 transferred INR 75000 to PERSON-0198 linked to CASE-0106.
TXN-0122,CASE-0784,PERSON-0539,PERSON-0442,BANK-0089,BANK-0442,25000,Synthetic transaction record: PERSON-0539 transferred INR 25000 to PERSON-0442 linked to CASE-0784.
TXN-0123,CASE-0782,PERSON-0221,PERSON-0052,BANK-0221,BANK-0052,150000,Synthetic transaction record: PERSON-0221 transferred INR 150000 to PERSON-0052 linked to CASE-0782.
TXN-0124,CASE-0025,PERSON-0153,PERSON-0560,BANK-0153,BANK-0110,150000,Synthetic transaction record: PERSON-0153 transferred INR 150000 to PERSON-0560 linked to CASE-0025.
TXN-0125,CASE-0919,PERSON-0712,PERSON-0669,BANK-0262,BANK-0219,50000,Synthetic transaction record: PERSON-0712 transferred INR 50000 to PERSON-0669 linked to CASE-0919.
TXN-0126,CASE-0115,PERSON-0957,PERSON-0953,BANK-0057,BANK-0053,50000,Synthetic transaction record: PERSON-0957 transferred INR 50000 to PERSON-0953 linked to CASE-0115.
TXN-0127,CASE-0072,PERSON-0033,PERSON-0609,BANK-0033,BANK-0159,75000,Synthetic transaction record: PERSON-0033 transferred INR 75000 to PERSON-0609 linked to CASE-0072.
TXN-0128,CASE-0485,PERSON-0401,PERSON-0915,BANK-0401,BANK-0015,150000,Synthetic transaction record: PERSON-0401 transferred INR 150000 to PERSON-0915 linked to CASE-0485.
TXN-0129,CASE-0278,PERSON-0072,PERSON-0585,BANK-0072,BANK-0135,75000,Synthetic transaction record: PERSON-0072 transferred INR 75000 to PERSON-0585 linked to CASE-0278.
TXN-0130,CASE-0403,PERSON-0420,PERSON-0982,BANK-0420,BANK-0082,250000,Synthetic transaction record: PERSON-0420 transferred INR 250000 to PERSON-0982 linked to CASE-0403.
TXN-0131,CASE-1195,PERSON-0032,PERSON-0011,BANK-0032,BANK-0011,75000,Synthetic transaction record: PERSON-0032 transferred INR 75000 to PERSON-0011 linked to CASE-1195.
TXN-0132,CASE-0953,PERSON-0488,PERSON-0620,BANK-0038,BANK-0170,75000,Synthetic transaction record: PERSON-0488 transferred INR 75000 to PERSON-0620 linked to CASE-0953.
TXN-0133,CASE-0062,PERSON-0062,PERSON-0099,BANK-0062,BANK-0099,150000,Synthetic transaction record: PERSON-0062 transferred INR 150000 to PERSON-0099 linked to CASE-0062.
TXN-0134,CASE-0499,PERSON-0140,PERSON-0342,BANK-0140,BANK-0342,250000,Synthetic transaction record: PERSON-0140 transferred INR 250000 to PERSON-0342 linked to CASE-0499.
TXN-0135,CASE-0026,PERSON-0027,PERSON-0818,BANK-0027,BANK-0368,150000,Synthetic transaction record: PERSON-0027 transferred INR 150000 to PERSON-0818 linked to CASE-0026.
TXN-0136,CASE-0443,PERSON-0631,PERSON-0473,BANK-0181,BANK-0023,25000,Synthetic transaction record: PERSON-0631 transferred INR 25000 to PERSON-0473 linked to CASE-0443.
TXN-0137,CASE-0389,PERSON-0771,PERSON-0798,BANK-0321,BANK-0348,25000,Synthetic transaction record: PERSON-0771 transferred INR 25000 to PERSON-0798 linked to CASE-0389.
TXN-0138,CASE-0925,PERSON-0176,PERSON-0165,BANK-0176,BANK-0165,25000,Synthetic transaction record: PERSON-0176 transferred INR 25000 to PERSON-0165 linked to CASE-0925.
TXN-0139,CASE-0224,PERSON-0210,PERSON-0554,BANK-0210,BANK-0104,150000,Synthetic transaction record: PERSON-0210 transferred INR 150000 to PERSON-0554 linked to CASE-0224.
TXN-0140,CASE-1160,PERSON-0043,PERSON-0762,BANK-0043,BANK-0312,250000,Synthetic transaction record: PERSON-0043 transferred INR 250000 to PERSON-0762 linked to CASE-1160.
TXN-0141,CASE-0968,PERSON-0906,PERSON-0078,BANK-0006,BANK-0078,500000,Synthetic transaction record: PERSON-0906 transferred INR 500000 to PERSON-0078 linked to CASE-0968.
TXN-0142,CASE-0799,PERSON-0508,PERSON-0146,BANK-0058,BANK-0146,50000,Synthetic transaction record: PERSON-0508 transferred INR 50000 to PERSON-0146 linked to CASE-0799.
TXN-0143,CASE-0246,PERSON-0026,PERSON-0824,BANK-0026,BANK-0374,75000,Synthetic transaction record: PERSON-0026 transferred INR 75000 to PERSON-0824 linked to CASE-0246.
TXN-0144,CASE-0648,PERSON-0892,PERSON-0945,BANK-0442,BANK-0045,500000,Synthetic transaction record: PERSON-0892 transferred INR 500000 to PERSON-0945 linked to CASE-0648.
TXN-0145,CASE-0573,PERSON-0762,PERSON-0418,BANK-0312,BANK-0418,25000,Synthetic transaction record: PERSON-0762 transferred INR 25000 to PERSON-0418 linked to CASE-0573.
TXN-0146,CASE-1016,PERSON-0114,PERSON-0584,BANK-0114,BANK-0134,50000,Synthetic transaction record: PERSON-0114 transferred INR 50000 to PERSON-0584 linked to CASE-1016.
TXN-0147,CASE-1121,PERSON-0828,PERSON-0988,BANK-0378,BANK-0088,25000,Synthetic transaction record: PERSON-0828 transferred INR 25000 to PERSON-0988 linked to CASE-1121.
TXN-0148,CASE-0971,PERSON-0855,PERSON-0007,BANK-0405,BANK-0007,150000,Synthetic transaction record: PERSON-0855 transferred INR 150000 to PERSON-0007 linked to CASE-0971.
