organization_id,organization_name,organization_type,registration_number
ORG-0031,Qureshi Logistics Agency,Logistics Agency,REG-ORG-0031
ORG-0032,Chakraborty Export House,Export House,REG-ORG-0032
ORG-0033,Kaur Consultancy Group,Consultancy Group,REG-ORG-0033
ORG-0034,Tiwari Property Ventures,Property Ventures,REG-ORG-0034
ORG-0035,Singhal Property Ventures,Property Ventures,REG-ORG-0035
ORG-0036,Kaur Trading Enterprise,Trading Enterprise,REG-ORG-0036
ORG-0037,Joshi Security Services,Security Services,REG-ORG-0037
ORG-0038,Mukherjee Property Ventures,Property Ventures,REG-ORG-0038
ORG-0039,Gupta Trading Enterprise,Trading Enterprise,REG-ORG-0039
ORG-0040,Ghosh Logistics Agency,Logistics Agency,REG-ORG-0040
ORG-0041,Kaur Property Ventures,Property Ventures,REG-ORG-0041
ORG-0042,Pandey Property Ventures,Property Ventures,REG-ORG-0042
ORG-0043,Kaur Security Services,Security Services,REG-ORG-0043
ORG-0044,Bhattacharya Trading Enterprise,Trading Enterprise,REG-ORG-0044
ORG-0045,Kumar Trading Enterprise,Trading Enterprise,REG-ORG-0045
ORG-0046,Dutta Consultancy Group,Consultancy Group,REG-ORG-0046
ORG-0047,Bhattacharya Security Services,Security Services,REG-ORG-0047
ORG-0048,Yadav Logistics Agency,Logistics Agency,REG-ORG-0048
ORG-0049,Kumar Logistics Agency,Logistics Agency,REG-ORG-0049
ORG-0050,Ahmed Consultancy Group,Consultancy Group,REG-ORG-0050
ORG-0051,Goyal Export House,Export House,REG-ORG-0051
ORG-0052,Jain Consultancy Group,Consultancy Group,REG-ORG-0052
ORG-0053,Yadav Trading Enterprise,Trading Enterprise,REG-ORG-0053
ORG-0054,Kumar Security Services,Security Services,REG-ORG-0054
ORG-0055,Goyal Trading Enterprise,Trading Enterprise,REG-ORG-0055
ORG-0056,Garg Export House,Export House,REG-ORG-0056
ORG-0057,Sarkar Consultancy Group,Consultancy Group,REG-ORG-0057
ORG-0058,Mehta Security Services,Security Services,REG-ORG-0058
ORG-0059,Khan Consultancy Group,Consultancy Group,REG-ORG-0059
ORG-0060,Kumar Property Ventures,Property Ventures,REG-ORG-0060
ORG-0061,Goyal Logistics Agency,Logistics Agency,REG-ORG-0061
ORG-0062,Mittal Export House,Export House,REG-ORG-0062
ORG-0063,Mishra Property Ventures,Property Ventures,REG-ORG-0063
ORG-0064,Kaur Logistics Agency,Logistics Agency,REG-ORG-0064
ORG-0065,Das Security Services,Security Services,REG-ORG-0065
ORG-0066,Dutta Security Services,Security Services,REG-ORG-0066
ORG-0067,Qureshi Logistics Agency,Logistics Agency,REG-ORG-0067
ORG-0068,Gupta Logistics Agency,Logistics Agency,REG-ORG-0068
ORG-0069,Ahmed Security Services,Security Services,REG-ORG-0069
ORG-0070,Khan Security Services,Security Services,REG-ORG-0070
ORG-0071,Siddiqui Trading Enterprise,Trading Enterprise,REG-ORG-0071
ORG-0072,Bhattacharya Security Services,Security Services,REG-ORG-0072
ORG-0073,Mukherjee Property Ventures,Property Ventures,REG-ORG-0073
ORG-0074,Qureshi Export House,Export House,REG-ORG-0074
ORG-0075,Joshi Logistics Agency,Logistics Agency,REG-ORG-0075
ORG-0076,Hussain Trading Enterprise,Trading Enterprise,REG-ORG-0076
ORG-0077,Das Security Services,Security Services,REG-ORG-0077
ORG-0078,Mehta Consultancy Group,Consultancy Group,REG-ORG-0078
ORG-0079,Sen Export House,Export House,REG-ORG-0079
ORG-0080,Kaur Security Services,Security Services,REG-ORG-0080
ORG-0081,Ansari Security Services,Security Services,REG-ORG-0081
ORG-0082,Ahmed Property Ventures,Property Ventures,REG-ORG-0082
ORG-0083,Garg Logistics Agency,Logistics Agency,REG-ORG-0083
ORG-0084,Dutta Security Services,Security Services,REG-ORG-0084
ORG-0085,Garg Property Ventures,Property Ventures,REG-ORG-0085
ORG-0086,Shukla Consultancy Group,Consultancy Group,REG-ORG-0086
ORG-0087,Sarkar Logistics Agency,Logistics Agency,REG-ORG-0087
ORG-0088,Ali Security Services,Security Services,REG-ORG-0088
ORG-0089,Roy Property Ventures,Property Ventures,REG-ORG-0089
ORG-0090,Qureshi Export House,Export House,REG-ORG-0090
ORG-0091,Mukherjee Security Services,Security Services,REG-ORG-0091
ORG-0092,Kaur Security Services,Security Services,REG-ORG-0092
ORG-0093,Ali Security Services,Security Services,REG-ORG-0093
ORG-0094,Patel Export House,Export House,REG-ORG-0094
ORG-0095,Shukla Export House,Export House,REG-ORG-0095
ORG-0096,Bansal Logistics Agency,Logistics Agency,REG-ORG-0096
ORG-0097,Goyal Trading Enterprise,Trading Enterprise,REG-ORG-0097
ORG-0098,Hussain Property Ventures,Property Ventures,REG-ORG-0098
ORG-0099,Banerjee Consultancy Group,Consultancy Group,REG-ORG-0099
ORG-0100,Roy Property Ventures,Property Ventures,REG-ORG-0100
ORG-0101,Gupta Consultancy Group,Consultancy Group,REG-ORG-0101
ORG-0102,Qureshi Logistics Agency,Logistics Agency,REG-ORG-0102
ORG-0103,Dutta Logistics Agency,Logistics Agency,REG-ORG-0103
ORG-0104,Bose Property Ventures,Property Ventures,REG-ORG-0104
ORG-0105,Pandey Property Ventures,Property Ventures,REG-ORG-0105
ORG-0106,Ahmed Consultancy Group,Consultancy Group,REG-ORG-0106
ORG-0107,Gupta Consultancy Group,Consultancy Group,REG-ORG-0107
ORG-0108,Garg Consultancy Group,Consultancy Group,REG-ORG-0108
ORG-0109,Singhal Consultancy Group,Consultancy Group,REG-ORG-0109
ORG-0110,Bansal Export House,Export House,REG-ORG-0110
ORG-0111,Khan Export House,Export House,REG-ORG-0111
ORG-0112,Sharma Security Services,Security Services,REG-ORG-0112
ORG-0113,Bansal Export House,Export House,REG-ORG-0113
ORG-0114,Kumar Trading Enterprise,Trading Enterprise,REG-ORG-0114
ORG-0115,Mukherjee Property Ventures,Property Ventures,REG-ORG-0115
ORG-0116,Chakraborty Logistics Agency,Logistics Agency,REG-ORG-0116
ORG-0117,Joshi Trading Enterprise,Trading Enterprise,REG-ORG-0117
ORG-0118,Mittal Property Ventures,Property Ventures,REG-ORG-0118
ORG-0119,Ali Security Services,Security Services,REG-ORG-0119
ORG-0120,Ahmed Trading Enterprise,Trading Enterprise,REG-ORG-0120
ORG-0121,Mehta Trading Enterprise,Trading Enterprise,REG-ORG-0121
ORG-0122,Bose Logistics Agency,Logistics Agency,REG-ORG-0122
ORG-0123,Jain Property Ventures,Property Ventures,REG-ORG-0123
ORG-0124,Agarwal Export House,Export House,REG-ORG-0124
ORG-0125,Singhal Property Ventures,Property Ventures,REG-ORG-0125
ORG-0126,Mittal Logistics Agency,Logistics Agency,REG-ORG-0126
ORG-0127,Ansari Security Services,Security Services,REG-ORG-0127
ORG-0128,Ali Consultancy Group,Consultancy Group,REG-ORG-0128
ORG-0129,Singhal Property Ventures,Property Ventures,REG-ORG-0129
ORG-0130,Jain Logistics Agency,Logistics Agency,REG-ORG-0130
ORG-0131,Chakraborty Trading Enterprise,Trading Enterprise,REG-ORG-0131
ORG-0132,Siddiqui Trading Enterprise,Trading Enterprise,REG-ORG-0132
ORG-0133,Roy Consultancy Group,Consultancy Group,REG-ORG-0133
ORG-0134,Kumar Trading Enterprise,Trading Enterprise,REG-ORG-0134
ORG-0135,Pandey Security Services,Security Services,REG-ORG-0135
ORG-0136,Dutta Security Services,Security Services,REG-ORG-0136
ORG-0137,Hussain Logistics Agency,Logistics Agency,REG-ORG-0137
ORG-0138,Agarwal Consultancy Group,Consultancy Group,REG-ORG-0138
ORG-0139,Chakraborty Consultancy Group,Consultancy Group,REG-ORG-0139
ORG-0140,Yadav Consultancy Group,Consultancy Group,REG-ORG-0140
ORG-0141,Ansari Security Services,Security Services,REG-ORG-0141
ORG-0142,Gupta Security Services,Security Services,REG-ORG-0142
ORG-0143,Sharma Property Ventures,Property Ventures,REG-ORG-0143
ORG-0144,Patel Trading Enterprise,Trading Enterprise,REG-ORG-0144
ORG-0145,Sen Property Ventures,Property Ventures,REG-ORG-0145
ORG-0146,Yadav Property Ventures,Property Ventures,REG-ORG-0146
ORG-0147,Mishra Property Ventures,Property Ventures,REG-ORG-0147
ORG-0148,Mukherjee Export House,Export House,REG-ORG-0148
ORG-0149,Tiwari Export House,Export House,REG-ORG-0149
ORG-0150,Mishra Security Services,Security Services,REG-ORG-0150
