family_id,person_id,related_person_id,relationship_subtype,notes
FAM-028,PERSON-145,PERSON-192,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-029,PERSON-065,PERSON-166,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-030,PERSON-039,PERSON-040,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-031,PERSON-115,PERSON-153,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-032,PERSON-170,PERSON-101,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-033,PERSON-145,PERSON-066,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-034,PERSON-077,PERSON-183,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-035,PERSON-148,PERSON-193,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-036,PERSON-143,PERSON-166,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-037,PERSON-111,PERSON-120,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-038,PERSON-170,PERSON-090,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-039,PERSON-145,PERSON-110,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-040,PERSON-137,PERSON-098,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-041,PERSON-109,PERSON-034,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-042,PERSON-165,PERSON-066,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-043,PERSON-105,PERSON-152,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-044,PERSON-034,PERSON-157,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-045,PERSON-108,PERSON-034,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-046,PERSON-106,PERSON-184,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-047,PERSON-033,PERSON-172,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-048,PERSON-080,PERSON-137,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-049,PERSON-143,PERSON-133,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-050,PERSON-073,PERSON-197,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-051,PERSON-128,PERSON-088,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-052,PERSON-052,PERSON-140,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-053,PERSON-164,PERSON-188,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-054,PERSON-104,PERSON-198,SISTER,Synthetic family record. Family relationship does not imply case involvement.
FAM-055,PERSON-100,PERSON-137,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-056,PERSON-049,PERSON-078,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-057,PERSON-106,PERSON-060,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-058,PERSON-190,PERSON-147,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-059,PERSON-191,PERSON-157,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-060,PERSON-114,PERSON-036,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-061,PERSON-044,PERSON-168,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-062,PERSON-079,PERSON-058,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-063,PERSON-100,PERSON-064,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-064,PERSON-034,PERSON-091,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-065,PERSON-070,PERSON-035,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-066,PERSON-087,PERSON-119,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-067,PERSON-111,PERSON-159,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-068,PERSON-150,PERSON-040,SPOUSE,Synthetic family record. Family relationship does not imply case involvement.
FAM-069,PERSON-052,PERSON-069,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-070,PERSON-100,PERSON-132,FATHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-071,PERSON-171,PERSON-152,MOTHER,Synthetic family record. Family relationship does not imply case involvement.
FAM-072,PERSON-081,PERSON-096,BROTHER,Synthetic family record. Family relationship does not imply case involvement.
