case_id,case_title,offence_category,legal_section,fir_number,date_opened,description,status,police_station,district,state,location_id
CASE-011,Synthetic Case Record 011 — Assault — Central Delhi,Assault,IPC 323,FIR-SYNTH-CEN-0011,2025-07-20,"Synthetic case record regarding assault associated with registered case record in fictional scenario 11. District: Central Delhi, State: Delhi. This record is for demonstration purposes only.",CHARGESHEETED,"Fictional PS No.4, Delhi",Central Delhi,Delhi,LOCATION-008
CASE-012,Synthetic Case Record 012 — Robbery — Central Delhi,Robbery,IPC 392,FIR-SYNTH-CEN-0012,2022-01-31,"Synthetic case record regarding robbery associated with registered case record in fictional scenario 12. District: Central Delhi, State: Delhi. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.6, Delhi",Central Delhi,Delhi,LOCATION-008
CASE-013,Synthetic Case Record 013 — Criminal Intimidation — North Delhi,Criminal Intimidation,IPC 506,FIR-SYNTH-NOR-0013,2025-04-12,"Synthetic case record regarding criminal intimidation associated with registered case record in fictional scenario 13. District: North Delhi, State: Delhi. This record is for demonstration purposes only.",OPEN,"Fictional PS No.5, Delhi",North Delhi,Delhi,LOCATION-009
CASE-014,Synthetic Case Record 014 — Extortion — North Delhi,Extortion,IPC 384,FIR-SYNTH-NOR-0014,2023-05-13,"Synthetic case record regarding extortion associated with registered case record in fictional scenario 14. District: North Delhi, State: Delhi. This record is for demonstration purposes only.",OPEN,"Fictional PS No.7, Delhi",North Delhi,Delhi,LOCATION-009
CASE-015,Synthetic Case Record 015 — Theft — South Delhi,Theft,IPC 379,FIR-SYNTH-SOU-0015,2025-04-05,"Synthetic case record regarding theft associated with registered case record in fictional scenario 15. District: South Delhi, State: Delhi. This record is for demonstration purposes only.",CHARGESHEETED,"Fictional PS No.1, Delhi",South Delhi,Delhi,LOCATION-010
CASE-016,Synthetic Case Record 016 — Fraud — Central Delhi,Fraud,IPC 420,FIR-SYNTH-CEN-0016,2025-05-06,"Synthetic case record regarding fraud associated with registered case record in fictional scenario 16. District: Central Delhi, State: Delhi. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.12, Delhi",Central Delhi,Delhi,LOCATION-008
CASE-017,Synthetic Case Record 017 — Forgery — North Delhi,Forgery,IPC 465,FIR-SYNTH-NOR-0017,2022-07-03,"Synthetic case record regarding forgery associated with registered case record in fictional scenario 17. District: North Delhi, State: Delhi. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.6, Delhi",North Delhi,Delhi,LOCATION-009
CASE-018,Synthetic Case Record 018 — Property Offence — Kolkata,Property Offence,IPC 425,FIR-SYNTH-KOL-0018,2024-10-20,"Synthetic case record regarding property offence associated with registered case record in fictional scenario 18. District: Kolkata, State: West Bengal. This record is for demonstration purposes only.",OPEN,"Fictional PS No.3, Kolkata",Kolkata,West Bengal,LOCATION-001
CASE-019,Synthetic Case Record 019 — Murder — Kolkata,Murder,IPC 302,FIR-SYNTH-KOL-0019,2025-06-20,"Synthetic case record regarding murder associated with registered case record in fictional scenario 19. District: Kolkata, State: West Bengal. This record is for demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.11, Kolkata",Kolkata,West Bengal,LOCATION-001
CASE-020,Synthetic Case Record 020 — Assault — North 24 Parganas,Assault,IPC 323,FIR-SYNTH-NOR-0020,2022-05-03,"Synthetic case record regarding assault associated with registered case record in fictional scenario 20. District: North 24 Parganas, State: West Bengal. This record is for demonstration purposes only.",OPEN,"Fictional PS No.11, Kolkata",North 24 Parganas,West Bengal,LOCATION-002
CASE-021,Synthetic Case Record 021 — Fraud — Mumbai City,Fraud,IPC 420,FIR-SYNTH-MUM-0021,2025-08-13,"Synthetic case record regarding fraud associated with registered case record in fictional scenario 21. District: Mumbai City, State: Maharashtra. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.6, Mumbai",Mumbai City,Maharashtra,LOCATION-004
CASE-022,Synthetic Case Record 022 — Fraud — Central Delhi,Fraud,IPC 420,FIR-SYNTH-CEN-0022,2025-01-03,"Synthetic case record regarding fraud associated with registered case record in fictional scenario 22. District: Central Delhi, State: Delhi. This record is for demonstration purposes only.",OPEN,"Fictional PS No.12, Delhi",Central Delhi,Delhi,LOCATION-008
CASE-023,Synthetic Case Record 023 — Cybercrime — Bengaluru Urban,Cybercrime,IT Act 66C,FIR-SYNTH-BEN-0023,2024-09-26,"Synthetic case record regarding cybercrime associated with registered case record in fictional scenario 23. District: Bengaluru Urban, State: Karnataka. This record is for demonstration purposes only.",CLOSED,"Fictional PS No.3, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-012
CASE-024,Synthetic Case Record 024 — Molestation — Jaipur,Molestation,IPC 354,FIR-SYNTH-JAI-0024,2025-02-17,"Synthetic case record regarding molestation associated with registered case record in fictional scenario 24. District: Jaipur, State: Rajasthan. This record is for demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.6, Jaipur",Jaipur,Rajasthan,LOCATION-019
CASE-025,Synthetic Case Record 025 — Assault — Jaipur,Assault,IPC 323,FIR-SYNTH-JAI-0025,2023-01-31,"Synthetic case record regarding assault associated with registered case record in fictional scenario 25. District: Jaipur, State: Rajasthan. This record is for demonstration purposes only.",OPEN,"Fictional PS No.8, Jaipur",Jaipur,Rajasthan,LOCATION-019
CASE-026,Synthetic Case Record 026 — Kidnapping — Raipur,Kidnapping,IPC 363,FIR-SYNTH-RAI-0026,2024-02-13,"Synthetic case record regarding kidnapping associated with registered case record in fictional scenario 26. District: Raipur, State: Chhattisgarh. This record is for demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.12, Raipur",Raipur,Chhattisgarh,LOCATION-024
CASE-027,Synthetic Case Record 027 — Theft — Mumbai City,Theft,IPC 379,FIR-SYNTH-MUM-0027,2022-10-03,"Synthetic case record regarding theft associated with registered case record in fictional scenario 27. District: Mumbai City, State: Maharashtra. This record is for demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.12, Mumbai",Mumbai City,Maharashtra,LOCATION-004
CASE-028,Synthetic Case Record 028 — Assault — North 24 Parganas,Assault,IPC 323,FIR-SYNTH-NOR-0028,2022-08-27,"Synthetic case record regarding assault in fictional scenario 28. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.15, Kolkata",North 24 Parganas,West Bengal,LOCATION-036
CASE-029,Synthetic Case Record 029 — Murder — Bengaluru Urban,Murder,IPC 302,FIR-SYNTH-BEN-0029,2025-11-12,"Synthetic case record regarding murder in fictional scenario 29. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.15, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-018
CASE-030,Synthetic Case Record 030 — Criminal Intimidation — South Delhi,Criminal Intimidation,IPC 506,FIR-SYNTH-SOU-0030,2023-01-22,"Synthetic case record regarding criminal intimidation in fictional scenario 30. District: South Delhi, State: Delhi. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.9, Delhi",South Delhi,Delhi,LOCATION-035
CASE-031,Synthetic Case Record 031 — Theft — Thane,Theft,IPC 379,FIR-SYNTH-THA-0031,2025-05-09,"Synthetic case record regarding theft in fictional scenario 31. District: Thane, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.20, Thane",Thane,Maharashtra,LOCATION-024
CASE-032,Synthetic Case Record 032 — Criminal Intimidation — Surat,Criminal Intimidation,IPC 506,FIR-SYNTH-SUR-0032,2023-12-10,"Synthetic case record regarding criminal intimidation in fictional scenario 32. District: Surat, State: Gujarat. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.13, Surat",Surat,Gujarat,LOCATION-013
CASE-033,Synthetic Case Record 033 — Extortion — Mumbai Suburban,Extortion,IPC 384,FIR-SYNTH-MUM-0033,2023-04-20,"Synthetic case record regarding extortion in fictional scenario 33. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.10, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-021
CASE-034,Synthetic Case Record 034 — Kidnapping — Mumbai Suburban,Kidnapping,IPC 363,FIR-SYNTH-MUM-0034,2021-08-08,"Synthetic case record regarding kidnapping in fictional scenario 34. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.2, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-013
CASE-035,Synthetic Case Record 035 — Criminal Intimidation — Lucknow,Criminal Intimidation,IPC 506,FIR-SYNTH-LUC-0035,2023-12-13,"Synthetic case record regarding criminal intimidation in fictional scenario 35. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.13, Lucknow",Lucknow,Uttar Pradesh,LOCATION-032
CASE-036,Synthetic Case Record 036 — Robbery — Bhopal,Robbery,IPC 392,FIR-SYNTH-BHO-0036,2024-09-04,"Synthetic case record regarding robbery in fictional scenario 36. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.1, Bhopal",Bhopal,Madhya Pradesh,LOCATION-014
CASE-037,Synthetic Case Record 037 — Assault — Howrah,Assault,IPC 323,FIR-SYNTH-HOW-0037,2024-02-17,"Synthetic case record regarding assault in fictional scenario 37. District: Howrah, State: West Bengal. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.2, Howrah",Howrah,West Bengal,LOCATION-024
CASE-038,Synthetic Case Record 038 — Theft — Bhopal,Theft,IPC 379,FIR-SYNTH-BHO-0038,2023-12-20,"Synthetic case record regarding theft in fictional scenario 38. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.20, Bhopal",Bhopal,Madhya Pradesh,LOCATION-018
CASE-039,Synthetic Case Record 039 — Robbery — South Delhi,Robbery,IPC 392,FIR-SYNTH-SOU-0039,2021-07-18,"Synthetic case record regarding robbery in fictional scenario 39. District: South Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.7, Delhi",South Delhi,Delhi,LOCATION-034
CASE-040,Synthetic Case Record 040 — Molestation — Surat,Molestation,IPC 354,FIR-SYNTH-SUR-0040,2023-12-14,"Synthetic case record regarding molestation in fictional scenario 40. District: Surat, State: Gujarat. For demonstration purposes only.",CLOSED,"Fictional PS No.7, Surat",Surat,Gujarat,LOCATION-013
CASE-041,Synthetic Case Record 041 — Burglary — Raipur,Burglary,IPC 457,FIR-SYNTH-RAI-0041,2025-04-19,"Synthetic case record regarding burglary in fictional scenario 41. District: Raipur, State: Chhattisgarh. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.14, Raipur",Raipur,Chhattisgarh,LOCATION-007
CASE-042,Synthetic Case Record 042 — Property Offence — Bhopal,Property Offence,IPC 425,FIR-SYNTH-BHO-0042,2021-12-08,"Synthetic case record regarding property offence in fictional scenario 42. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",CLOSED,"Fictional PS No.14, Bhopal",Bhopal,Madhya Pradesh,LOCATION-007
CASE-043,Synthetic Case Record 043 — Extortion — Surat,Extortion,IPC 384,FIR-SYNTH-SUR-0043,2022-10-08,"Synthetic case record regarding extortion in fictional scenario 43. District: Surat, State: Gujarat. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.15, Surat",Surat,Gujarat,LOCATION-023
CASE-044,Synthetic Case Record 044 — Forgery — Chennai,Forgery,IPC 465,FIR-SYNTH-CHE-0044,2024-05-31,"Synthetic case record regarding forgery in fictional scenario 44. District: Chennai, State: Tamil Nadu. For demonstration purposes only.",CLOSED,"Fictional PS No.14, Chennai",Chennai,Tamil Nadu,LOCATION-021
CASE-045,Synthetic Case Record 045 — Burglary — Nagpur,Burglary,IPC 457,FIR-SYNTH-NAG-0045,2023-07-16,"Synthetic case record regarding burglary in fictional scenario 45. District: Nagpur, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.9, Nagpur",Nagpur,Maharashtra,LOCATION-024
CASE-046,Synthetic Case Record 046 — Cybercrime — Kolkata,Cybercrime,IT Act 66C,FIR-SYNTH-KOL-0046,2024-05-05,"Synthetic case record regarding cybercrime in fictional scenario 46. District: Kolkata, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.2, Kolkata",Kolkata,West Bengal,LOCATION-019
CASE-047,Synthetic Case Record 047 — Fraud — Central Delhi,Fraud,IPC 420,FIR-SYNTH-CEN-0047,2025-04-30,"Synthetic case record regarding fraud in fictional scenario 47. District: Central Delhi, State: Delhi. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.11, Delhi",Central Delhi,Delhi,LOCATION-002
CASE-048,Synthetic Case Record 048 — Burglary — Ahmedabad,Burglary,IPC 457,FIR-SYNTH-AHM-0048,2021-11-13,"Synthetic case record regarding burglary in fictional scenario 48. District: Ahmedabad, State: Gujarat. For demonstration purposes only.",OPEN,"Fictional PS No.19, Ahmedabad",Ahmedabad,Gujarat,LOCATION-037
CASE-049,Synthetic Case Record 049 — Murder — North Delhi,Murder,IPC 302,FIR-SYNTH-NOR-0049,2022-04-23,"Synthetic case record regarding murder in fictional scenario 49. District: North Delhi, State: Delhi. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.19, Delhi",North Delhi,Delhi,LOCATION-016
CASE-050,Synthetic Case Record 050 — Extortion — Howrah,Extortion,IPC 384,FIR-SYNTH-HOW-0050,2022-03-22,"Synthetic case record regarding extortion in fictional scenario 50. District: Howrah, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.13, Howrah",Howrah,West Bengal,LOCATION-037
CASE-051,Synthetic Case Record 051 — Kidnapping — Rangareddy,Kidnapping,IPC 363,FIR-SYNTH-RAN-0051,2025-08-06,"Synthetic case record regarding kidnapping in fictional scenario 51. District: Rangareddy, State: Telangana. For demonstration purposes only.",OPEN,"Fictional PS No.16, Hyderabad",Rangareddy,Telangana,LOCATION-037
CASE-052,Synthetic Case Record 052 — Molestation — Jaipur,Molestation,IPC 354,FIR-SYNTH-JAI-0052,2025-04-28,"Synthetic case record regarding molestation in fictional scenario 52. District: Jaipur, State: Rajasthan. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.3, Jaipur",Jaipur,Rajasthan,LOCATION-004
CASE-053,Synthetic Case Record 053 — Fraud — Nagpur,Fraud,IPC 420,FIR-SYNTH-NAG-0053,2024-07-22,"Synthetic case record regarding fraud in fictional scenario 53. District: Nagpur, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.20, Nagpur",Nagpur,Maharashtra,LOCATION-001
CASE-054,Synthetic Case Record 054 — Kidnapping — Jaipur,Kidnapping,IPC 363,FIR-SYNTH-JAI-0054,2024-11-30,"Synthetic case record regarding kidnapping in fictional scenario 54. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CLOSED,"Fictional PS No.11, Jaipur",Jaipur,Rajasthan,LOCATION-033
CASE-055,Synthetic Case Record 055 — Extortion — Nagpur,Extortion,IPC 384,FIR-SYNTH-NAG-0055,2021-07-04,"Synthetic case record regarding extortion in fictional scenario 55. District: Nagpur, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.19, Nagpur",Nagpur,Maharashtra,LOCATION-033
CASE-056,Synthetic Case Record 056 — Robbery — East Delhi,Robbery,IPC 392,FIR-SYNTH-EAS-0056,2025-03-07,"Synthetic case record regarding robbery in fictional scenario 56. District: East Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.16, Delhi",East Delhi,Delhi,LOCATION-037
CASE-057,Synthetic Case Record 057 — Molestation — Ahmedabad,Molestation,IPC 354,FIR-SYNTH-AHM-0057,2023-09-12,"Synthetic case record regarding molestation in fictional scenario 57. District: Ahmedabad, State: Gujarat. For demonstration purposes only.",CLOSED,"Fictional PS No.5, Ahmedabad",Ahmedabad,Gujarat,LOCATION-009
CASE-058,Synthetic Case Record 058 — Cybercrime — Patna,Cybercrime,IT Act 66C,FIR-SYNTH-PAT-0058,2022-05-12,"Synthetic case record regarding cybercrime in fictional scenario 58. District: Patna, State: Bihar. For demonstration purposes only.",OPEN,"Fictional PS No.17, Patna",Patna,Bihar,LOCATION-016
CASE-059,Synthetic Case Record 059 — Robbery — Jaipur,Robbery,IPC 392,FIR-SYNTH-JAI-0059,2023-05-18,"Synthetic case record regarding robbery in fictional scenario 59. District: Jaipur, State: Rajasthan. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.4, Jaipur",Jaipur,Rajasthan,LOCATION-027
CASE-060,Synthetic Case Record 060 — Theft — Lucknow,Theft,IPC 379,FIR-SYNTH-LUC-0060,2022-12-18,"Synthetic case record regarding theft in fictional scenario 60. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.10, Lucknow",Lucknow,Uttar Pradesh,LOCATION-011
CASE-061,Synthetic Case Record 061 — Property Offence — Pune,Property Offence,IPC 425,FIR-SYNTH-PUN-0061,2025-04-01,"Synthetic case record regarding property offence in fictional scenario 61. District: Pune, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.12, Pune",Pune,Maharashtra,LOCATION-010
CASE-062,Synthetic Case Record 062 — Kidnapping — Patna,Kidnapping,IPC 363,FIR-SYNTH-PAT-0062,2022-12-05,"Synthetic case record regarding kidnapping in fictional scenario 62. District: Patna, State: Bihar. For demonstration purposes only.",OPEN,"Fictional PS No.10, Patna",Patna,Bihar,LOCATION-001
CASE-063,Synthetic Case Record 063 — Cybercrime — Pune,Cybercrime,IT Act 66C,FIR-SYNTH-PUN-0063,2022-02-22,"Synthetic case record regarding cybercrime in fictional scenario 63. District: Pune, State: Maharashtra. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.18, Pune",Pune,Maharashtra,LOCATION-014
CASE-064,Synthetic Case Record 064 — Property Offence — Bhopal,Property Offence,IPC 425,FIR-SYNTH-BHO-0064,2024-04-08,"Synthetic case record regarding property offence in fictional scenario 64. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.1, Bhopal",Bhopal,Madhya Pradesh,LOCATION-025
CASE-065,Synthetic Case Record 065 — Forgery — Pune,Forgery,IPC 465,FIR-SYNTH-PUN-0065,2021-04-19,"Synthetic case record regarding forgery in fictional scenario 65. District: Pune, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.20, Pune",Pune,Maharashtra,LOCATION-018
CASE-066,Synthetic Case Record 066 — Robbery — Kolkata,Robbery,IPC 392,FIR-SYNTH-KOL-0066,2024-09-19,"Synthetic case record regarding robbery in fictional scenario 66. District: Kolkata, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.13, Kolkata",Kolkata,West Bengal,LOCATION-018
CASE-067,Synthetic Case Record 067 — Attempted Murder — Kolkata,Attempted Murder,IPC 307,FIR-SYNTH-KOL-0067,2023-02-19,"Synthetic case record regarding attempted murder in fictional scenario 67. District: Kolkata, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.13, Kolkata",Kolkata,West Bengal,LOCATION-015
CASE-068,Synthetic Case Record 068 — Criminal Intimidation — Rangareddy,Criminal Intimidation,IPC 506,FIR-SYNTH-RAN-0068,2021-06-30,"Synthetic case record regarding criminal intimidation in fictional scenario 68. District: Rangareddy, State: Telangana. For demonstration purposes only.",CLOSED,"Fictional PS No.20, Hyderabad",Rangareddy,Telangana,LOCATION-035
CASE-069,Synthetic Case Record 069 — Theft — Kolkata,Theft,IPC 379,FIR-SYNTH-KOL-0069,2022-09-17,"Synthetic case record regarding theft in fictional scenario 69. District: Kolkata, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.8, Kolkata",Kolkata,West Bengal,LOCATION-034
CASE-070,Synthetic Case Record 070 — Murder — Kanpur Nagar,Murder,IPC 302,FIR-SYNTH-KAN-0070,2022-04-29,"Synthetic case record regarding murder in fictional scenario 70. District: Kanpur Nagar, State: Uttar Pradesh. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.12, Kanpur",Kanpur Nagar,Uttar Pradesh,LOCATION-020
CASE-071,Synthetic Case Record 071 — Attempted Murder — Lucknow,Attempted Murder,IPC 307,FIR-SYNTH-LUC-0071,2024-02-11,"Synthetic case record regarding attempted murder in fictional scenario 71. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.13, Lucknow",Lucknow,Uttar Pradesh,LOCATION-002
CASE-072,Synthetic Case Record 072 — Robbery — Mumbai Suburban,Robbery,IPC 392,FIR-SYNTH-MUM-0072,2024-10-20,"Synthetic case record regarding robbery in fictional scenario 72. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.13, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-034
CASE-073,Synthetic Case Record 073 — Murder — Patna,Murder,IPC 302,FIR-SYNTH-PAT-0073,2021-09-27,"Synthetic case record regarding murder in fictional scenario 73. District: Patna, State: Bihar. For demonstration purposes only.",CLOSED,"Fictional PS No.15, Patna",Patna,Bihar,LOCATION-035
CASE-074,Synthetic Case Record 074 — Burglary — Jaipur,Burglary,IPC 457,FIR-SYNTH-JAI-0074,2022-09-25,"Synthetic case record regarding burglary in fictional scenario 74. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CLOSED,"Fictional PS No.7, Jaipur",Jaipur,Rajasthan,LOCATION-009
CASE-075,Synthetic Case Record 075 — Kidnapping — Jaipur,Kidnapping,IPC 363,FIR-SYNTH-JAI-0075,2024-02-16,"Synthetic case record regarding kidnapping in fictional scenario 75. District: Jaipur, State: Rajasthan. For demonstration purposes only.",OPEN,"Fictional PS No.11, Jaipur",Jaipur,Rajasthan,LOCATION-005
CASE-076,Synthetic Case Record 076 — Forgery — Kolkata,Forgery,IPC 465,FIR-SYNTH-KOL-0076,2023-04-23,"Synthetic case record regarding forgery in fictional scenario 76. District: Kolkata, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.11, Kolkata",Kolkata,West Bengal,LOCATION-027
CASE-077,Synthetic Case Record 077 — Fraud — Nagpur,Fraud,IPC 420,FIR-SYNTH-NAG-0077,2022-01-14,"Synthetic case record regarding fraud in fictional scenario 77. District: Nagpur, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.4, Nagpur",Nagpur,Maharashtra,LOCATION-009
CASE-078,Synthetic Case Record 078 — Extortion — Patna,Extortion,IPC 384,FIR-SYNTH-PAT-0078,2024-03-07,"Synthetic case record regarding extortion in fictional scenario 78. District: Patna, State: Bihar. For demonstration purposes only.",CLOSED,"Fictional PS No.9, Patna",Patna,Bihar,LOCATION-039
CASE-079,Synthetic Case Record 079 — Murder — Kolkata,Murder,IPC 302,FIR-SYNTH-KOL-0079,2021-10-02,"Synthetic case record regarding murder in fictional scenario 79. District: Kolkata, State: West Bengal. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.3, Kolkata",Kolkata,West Bengal,LOCATION-031
CASE-080,Synthetic Case Record 080 — Kidnapping — Bengaluru Urban,Kidnapping,IPC 363,FIR-SYNTH-BEN-0080,2023-08-29,"Synthetic case record regarding kidnapping in fictional scenario 80. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.13, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-032
CASE-081,Synthetic Case Record 081 — Forgery — Chennai,Forgery,IPC 465,FIR-SYNTH-CHE-0081,2023-04-26,"Synthetic case record regarding forgery in fictional scenario 81. District: Chennai, State: Tamil Nadu. For demonstration purposes only.",CLOSED,"Fictional PS No.1, Chennai",Chennai,Tamil Nadu,LOCATION-018
CASE-082,Synthetic Case Record 082 — Forgery — Pune,Forgery,IPC 465,FIR-SYNTH-PUN-0082,2021-12-29,"Synthetic case record regarding forgery in fictional scenario 82. District: Pune, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.7, Pune",Pune,Maharashtra,LOCATION-005
CASE-083,Synthetic Case Record 083 — Cybercrime — Rangareddy,Cybercrime,IT Act 66C,FIR-SYNTH-RAN-0083,2025-12-23,"Synthetic case record regarding cybercrime in fictional scenario 83. District: Rangareddy, State: Telangana. For demonstration purposes only.",CLOSED,"Fictional PS No.11, Hyderabad",Rangareddy,Telangana,LOCATION-030
