txn_id,case_id,amount,description
ADV-TXN-0063,CASE-0681,53134.11,PERSON-0026 transferred 53134.11 INR to PERSON-0184 for contraband.
ADV-TXN-0064,CASE-0509,27952.5,PERSON-0885 transferred 27952.5 INR to PERSON-0753 for contraband.
ADV-TXN-0065,CASE-0964,25979.51,PERSON-0040 transferred 25979.51 INR to PERSON-0880 for contraband.
ADV-TXN-0066,CASE-0467,28907.96,PERSON-0841 transferred 28907.96 INR to PERSON-0815 for contraband.
ADV-TXN-0067,CASE-0143,26068.77,PERSON-0286 transferred 26068.77 INR to PERSON-0886 for contraband.
ADV-TXN-0068,CASE-1099,11920.51,PERSON-0522 transferred 11920.51 INR to PERSON-0410 for contraband.
ADV-TXN-0069,CASE-0366,20927.98,PERSON-0994 transferred 20927.98 INR to PERSON-0268 for contraband.
ADV-TXN-0070,CASE-0890,23820.64,PERSON-0112 transferred 23820.64 INR to PERSON-0611 for contraband.
ADV-TXN-0071,CASE-0237,16404.73,PERSON-0621 transferred 16404.73 INR to PERSON-0524 for contraband.
ADV-TXN-0072,CASE-0894,46211.43,PERSON-0046 transferred 46211.43 INR to PERSON-0726 for contraband.
ADV-TXN-0073,CASE-0404,42389.32,PERSON-0963 transferred 42389.32 INR to PERSON-0760 for contraband.
ADV-TXN-0074,CASE-0256,35427.35,PERSON-0680 transferred 35427.35 INR to PERSON-0869 for contraband.
ADV-TXN-0075,CASE-0669,16510.41,PERSON-0683 transferred 16510.41 INR to PERSON-0419 for contraband.
ADV-TXN-0076,CASE-0777,15441.64,PERSON-0681 transferred 15441.64 INR to PERSON-0963 for contraband.
ADV-TXN-0077,CASE-0832,23232.5,PERSON-0583 transferred 23232.5 INR to PERSON-0309 for contraband.
ADV-TXN-0078,CASE-1188,31507.16,PERSON-0216 transferred 31507.16 INR to PERSON-0441 for contraband.
ADV-TXN-0079,CASE-1047,62589.92,PERSON-0692 transferred 62589.92 INR to PERSON-0219 for contraband.
ADV-TXN-0080,CASE-0174,10603.23,PERSON-0754 transferred 10603.23 INR to PERSON-0174 for contraband.
ADV-TXN-0081,CASE-0482,13841.24,PERSON-0975 transferred 13841.24 INR to PERSON-0770 for contraband.
ADV-TXN-0082,CASE-0974,9369.69,PERSON-0048 transferred 9369.69 INR to PERSON-0251 for contraband.
ADV-TXN-0083,CASE-1179,28038.71,PERSON-0425 transferred 28038.71 INR to PERSON-0908 for contraband.
ADV-TXN-0084,CASE-0303,51705.22,PERSON-0410 transferred 51705.22 INR to PERSON-0250 for contraband.
ADV-TXN-0085,CASE-1061,60048.2,PERSON-0225 transferred 60048.2 INR to PERSON-0181 for contraband.
ADV-TXN-0086,CASE-0274,64273.55,PERSON-0125 transferred 64273.55 INR to PERSON-0468 for contraband.
ADV-TXN-0087,CASE-0907,58521.22,PERSON-0610 transferred 58521.22 INR to PERSON-0325 for contraband.
ADV-TXN-0088,CASE-1123,49619.33,PERSON-0437 transferred 49619.33 INR to PERSON-0851 for contraband.
ADV-TXN-0089,CASE-0531,50948.82,PERSON-0487 transferred 50948.82 INR to PERSON-0461 for contraband.
ADV-TXN-0090,CASE-0490,19069.61,PERSON-0534 transferred 19069.61 INR to PERSON-0497 for contraband.
ADV-TXN-0091,CASE-1107,27982.12,PERSON-0344 transferred 27982.12 INR to PERSON-0328 for contraband.
ADV-TXN-0092,CASE-0439,37556.67,PERSON-0157 transferred 37556.67 INR to PERSON-0724 for contraband.
ADV-TXN-0093,CASE-0424,56403.92,PERSON-0426 transferred 56403.92 INR to PERSON-0064 for contraband.
ADV-TXN-0094,CASE-0780,22916.76,PERSON-0784 transferred 22916.76 INR to PERSON-0590 for contraband.
ADV-TXN-0095,CASE-0859,37767.94,PERSON-0400 transferred 37767.94 INR to PERSON-0874 for contraband.
ADV-TXN-0096,CASE-0452,34138.52,PERSON-0618 transferred 34138.52 INR to PERSON-0920 for contraband.
ADV-TXN-0097,CASE-0829,60172.5,PERSON-0399 transferred 60172.5 INR to PERSON-0345 for contraband.
ADV-TXN-0098,CASE-0056,10036.85,PERSON-0638 transferred 10036.85 INR to PERSON-0547 for contraband.
ADV-TXN-0099,CASE-0946,24641.16,PERSON-0439 transferred 24641.16 INR to PERSON-0139 for contraband.
ADV-TXN-0100,CASE-0692,21695.4,PERSON-0466 transferred 21695.4 INR to PERSON-0335 for contraband.
ADV-TXN-0101,CASE-0864,33218.41,PERSON-0975 transferred 33218.41 INR to PERSON-0852 for contraband.
ADV-TXN-0102,CASE-0107,51873.98,PERSON-0768 transferred 51873.98 INR to PERSON-0553 for contraband.
ADV-TXN-0103,CASE-0064,42280.14,PERSON-0668 transferred 42280.14 INR to PERSON-0042 for contraband.
ADV-TXN-0104,CASE-0970,32902.04,PERSON-0245 transferred 32902.04 INR to PERSON-0130 for contraband.
ADV-TXN-0105,CASE-0756,51667.51,PERSON-0263 transferred 51667.51 INR to PERSON-0786 for contraband.
ADV-TXN-0106,CASE-0638,39547.8,PERSON-0168 transferred 39547.8 INR to PERSON-0988 for contraband.
ADV-TXN-0107,CASE-0769,16899.79,PERSON-0930 transferred 16899.79 INR to PERSON-0982 for contraband.
ADV-TXN-0108,CASE-0498,56017.59,PERSON-0607 transferred 56017.59 INR to PERSON-0708 for contraband.
ADV-TXN-0109,CASE-0248,51958.12,PERSON-0615 transferred 51958.12 INR to PERSON-0825 for contraband.
ADV-TXN-0110,CASE-0878,43852.6,PERSON-0356 transferred 43852.6 INR to PERSON-0546 for contraband.
ADV-TXN-0111,CASE-0861,62647.25,PERSON-0013 transferred 62647.25 INR to PERSON-0870 for contraband.
ADV-TXN-0112,CASE-0942,49027.72,PERSON-0651 transferred 49027.72 INR to PERSON-0913 for contraband.
ADV-TXN-0113,CASE-0554,37290.37,PERSON-0989 transferred 37290.37 INR to PERSON-0667 for contraband.
ADV-TXN-0114,CASE-0893,21103.73,PERSON-0496 transferred 21103.73 INR to PERSON-0477 for contraband.
ADV-TXN-0115,CASE-0178,19631.81,PERSON-0873 transferred 19631.81 INR to PERSON-0252 for contraband.
ADV-TXN-0116,CASE-1250,34658.39,PERSON-0476 transferred 34658.39 INR to PERSON-0584 for contraband.
ADV-TXN-0117,CASE-0999,25420.33,PERSON-0333 transferred 25420.33 INR to PERSON-0187 for contraband.
ADV-TXN-0118,CASE-0566,10136.78,PERSON-0902 transferred 10136.78 INR to PERSON-0611 for contraband.
ADV-TXN-0119,CASE-1001,46436.56,PERSON-0738 transferred 46436.56 INR to PERSON-0417 for contraband.
ADV-TXN-0120,CASE-1006,10583.2,PERSON-0662 transferred 10583.2 INR to PERSON-0729 for contraband.
ADV-TXN-0121,CASE-0499,33395.63,PERSON-0227 transferred 33395.63 INR to PERSON-0415 for contraband.
ADV-TXN-0122,CASE-0872,47171.3,PERSON-0544 transferred 47171.3 INR to PERSON-0353 for contraband.
ADV-TXN-0123,CASE-0515,23932.88,PERSON-0278 transferred 23932.88 INR to PERSON-0314 for contraband.
ADV-TXN-0124,CASE-0380,21589.98,PERSON-0761 transferred 21589.98 INR to PERSON-0549 for contraband.
ADV-TXN-0125,CASE-1075,54957.7,PERSON-0604 transferred 54957.7 INR to PERSON-0779 for contraband.
ADV-TXN-0126,CASE-0740,12594.98,PERSON-0304 transferred 12594.98 INR to PERSON-0233 for contraband.
ADV-TXN-0127,CASE-0112,43272.18,PERSON-0047 transferred 43272.18 INR to PERSON-0998 for contraband.
ADV-TXN-0128,CASE-0211,33163.82,PERSON-0771 transferred 33163.82 INR to PERSON-0503 for contraband.
ADV-TXN-0129,CASE-0378,11845.23,PERSON-0452 transferred 11845.23 INR to PERSON-0349 for contraband.
ADV-TXN-0130,CASE-1008,14103.62,PERSON-0067 transferred 14103.62 INR to PERSON-0411 for contraband.
ADV-TXN-0131,CASE-0623,12107.09,PERSON-0831 transferred 12107.09 INR to PERSON-0577 for contraband.
ADV-TXN-0132,CASE-1242,18541.23,PERSON-0783 transferred 18541.23 INR to PERSON-0427 for contraband.
ADV-TXN-0133,CASE-0923,23322.81,PERSON-0536 transferred 23322.81 INR to PERSON-0390 for contraband.
ADV-TXN-0134,CASE-1249,61855.41,PERSON-0636 transferred 61855.41 INR to PERSON-0062 for contraband.
ADV-TXN-0135,CASE-0433,19391.91,PERSON-0213 transferred 19391.91 INR to PERSON-0641 for contraband.
ADV-TXN-0136,CASE-0321,22475.56,PERSON-0566 transferred 22475.56 INR to PERSON-0077 for contraband.
ADV-TXN-0137,CASE-0580,9270.79,PERSON-0238 transferred 9270.79 INR to PERSON-0296 for contraband.
ADV-TXN-0138,CASE-0542,40387.38,PERSON-0240 transferred 40387.38 INR to PERSON-0947 for contraband.
ADV-TXN-0139,CASE-0406,43858.08,PERSON-0824 transferred 43858.08 INR to PERSON-0957 for contraband.
ADV-TXN-0140,CASE-0292,40702.64,PERSON-0931 transferred 40702.64 INR to PERSON-0273 for contraband.
ADV-TXN-0141,CASE-0592,46984.02,PERSON-0845 transferred 46984.02 INR to PERSON-0583 for contraband.
ADV-TXN-0142,CASE-1025,40882.2,PERSON-0966 transferred 40882.2 INR to PERSON-0279 for contraband.
ADV-TXN-0143,CASE-0661,18735.46,PERSON-0911 transferred 18735.46 INR to PERSON-0443 for contraband.
ADV-TXN-0144,CASE-1179,64974.35,PERSON-0691 transferred 64974.35 INR to PERSON-0857 for contraband.
ADV-TXN-0145,CASE-0552,33230.05,PERSON-0689 transferred 33230.05 INR to PERSON-0842 for contraband.
ADV-TXN-0146,CASE-0570,31153.1,PERSON-0668 transferred 31153.1 INR to PERSON-0453 for contraband.
ADV-TXN-0147,CASE-0187,24263.5,PERSON-0834 transferred 24263.5 INR to PERSON-0504 for contraband.
ADV-TXN-0148,CASE-0330,22293.07,PERSON-0108 transferred 22293.07 INR to PERSON-0879 for contraband.
ADV-TXN-0149,CASE-1127,20143.93,PERSON-0968 transferred 20143.93 INR to PERSON-0411 for contraband.
ADV-TXN-0150,CASE-0828,44459.62,PERSON-0119 transferred 44459.62 INR to PERSON-0994 for contraband.
ADV-TXN-0151,CASE-0847,42358.03,PERSON-0556 transferred 42358.03 INR to PERSON-0474 for contraband.
ADV-TXN-0152,CASE-0906,37953.18,PERSON-0511 transferred 37953.18 INR to PERSON-0641 for contraband.
ADV-TXN-0153,CASE-0898,6732.17,PERSON-0950 transferred 6732.17 INR to PERSON-0295 for contraband.
ADV-TXN-0154,CASE-0491,38135.08,PERSON-0646 transferred 38135.08 INR to PERSON-0624 for contraband.
ADV-TXN-0155,CASE-0233,43862.58,PERSON-0096 transferred 43862.58 INR to PERSON-0231 for contraband.
ADV-TXN-0156,CASE-0598,29929.42,PERSON-0158 transferred 29929.42 INR to PERSON-0511 for contraband.
ADV-TXN-0157,CASE-0500,16436.62,PERSON-0495 transferred 16436.62 INR to PERSON-0484 for contraband.
ADV-TXN-0158,CASE-0280,25392.51,PERSON-0614 transferred 25392.51 INR to PERSON-0521 for contraband.
ADV-TXN-0159,CASE-0548,55248.56,PERSON-0807 transferred 55248.56 INR to PERSON-0520 for contraband.
ADV-TXN-0160,CASE-1003,34060.48,PERSON-0594 transferred 34060.48 INR to PERSON-0676 for contraband.
ADV-TXN-0161,CASE-1113,57176.1,PERSON-0341 transferred 57176.1 INR to PERSON-0566 for contraband.
ADV-TXN-0162,CASE-1172,7618.84,PERSON-0715 transferred 7618.84 INR to PERSON-0245 for contraband.
ADV-TXN-0163,CASE-0781,52543.62,PERSON-0763 transferred 52543.62 INR to PERSON-0485 for contraband.
ADV-TXN-0164,CASE-1015,62921.22,PERSON-0668 transferred 62921.22 INR to PERSON-0156 for contraband.
ADV-TXN-0165,CASE-0206,10982.7,PERSON-0340 transferred 10982.7 INR to PERSON-0891 for contraband.
ADV-TXN-0166,CASE-0032,9489.69,PERSON-0933 transferred 9489.69 INR to PERSON-0468 for contraband.
ADV-TXN-0167,CASE-0543,43990.2,PERSON-0801 transferred 43990.2 INR to PERSON-0993 for contraband.
ADV-TXN-0168,CASE-1093,42607.95,PERSON-0873 transferred 42607.95 INR to PERSON-0337 for contraband.
ADV-TXN-0169,CASE-1000,19086.21,PERSON-0909 transferred 19086.21 INR to PERSON-0778 for contraband.
ADV-TXN-0170,CASE-0589,31038.29,PERSON-0701 transferred 31038.29 INR to PERSON-0944 for contraband.
ADV-TXN-0171,CASE-0206,59205.44,PERSON-0101 transferred 59205.44 INR to PERSON-0779 for contraband.
ADV-TXN-0172,CASE-0115,13734.19,PERSON-0048 transferred 13734.19 INR to PERSON-0333 for contraband.
ADV-TXN-0173,CASE-1160,15199.02,PERSON-0544 transferred 15199.02 INR to PERSON-0422 for contraband.
ADV-TXN-0174,CASE-0784,59769.74,PERSON-0081 transferred 59769.74 INR to PERSON-0625 for contraband.
ADV-TXN-0175,CASE-0945,45010.44,PERSON-0147 transferred 45010.44 INR to PERSON-0238 for contraband.
ADV-TXN-0176,CASE-0953,14478.54,PERSON-0921 transferred 14478.54 INR to PERSON-0824 for contraband.
ADV-TXN-0177,CASE-0708,46418.81,PERSON-0453 transferred 46418.81 INR to PERSON-0968 for contraband.
ADV-TXN-0178,CASE-0619,56200.13,PERSON-0468 transferred 56200.13 INR to PERSON-0866 for contraband.
ADV-TXN-0179,CASE-0782,64561.52,PERSON-0110 transferred 64561.52 INR to PERSON-0243 for contraband.
ADV-TXN-0180,CASE-0811,59637.02,PERSON-0303 transferred 59637.02 INR to PERSON-0023 for contraband.
ADV-TXN-0181,CASE-0587,41423.9,PERSON-0764 transferred 41423.9 INR to PERSON-0509 for contraband.
ADV-TXN-0182,CASE-0390,42694.89,PERSON-0361 transferred 42694.89 INR to PERSON-0225 for contraband.
ADV-TXN-0183,CASE-0081,7001.87,PERSON-0926 transferred 7001.87 INR to PERSON-0643 for contraband.
ADV-TXN-0184,CASE-0270,24603.15,PERSON-0374 transferred 24603.15 INR to PERSON-0750 for contraband.
ADV-TXN-0185,CASE-0412,57587.64,PERSON-0426 transferred 57587.64 INR to PERSON-0180 for contraband.
ADV-TXN-0186,CASE-1028,20418.21,PERSON-0375 transferred 20418.21 INR to PERSON-0544 for contraband.
ADV-TXN-0187,CASE-0987,49793.56,PERSON-0845 transferred 49793.56 INR to PERSON-0967 for contraband.
ADV-TXN-0188,CASE-0236,13445.42,PERSON-0347 transferred 13445.42 INR to PERSON-0824 for contraband.
ADV-TXN-0189,CASE-0814,38438.76,PERSON-0990 transferred 38438.76 INR to PERSON-0232 for contraband.
ADV-TXN-0190,CASE-0809,32287.16,PERSON-0093 transferred 32287.16 INR to PERSON-0810 for contraband.
ADV-TXN-0191,CASE-0537,11500.77,PERSON-0689 transferred 11500.77 INR to PERSON-0767 for contraband.
ADV-TXN-0192,CASE-0052,38684.44,PERSON-0240 transferred 38684.44 INR to PERSON-0483 for contraband.
ADV-TXN-0193,CASE-0454,59563.26,PERSON-0938 transferred 59563.26 INR to PERSON-0625 for contraband.
ADV-TXN-0194,CASE-0837,23261.88,PERSON-0310 transferred 23261.88 INR to PERSON-0665 for contraband.
ADV-TXN-0195,CASE-0200,13139.84,PERSON-0505 transferred 13139.84 INR to PERSON-0119 for contraband.
ADV-TXN-0196,CASE-1107,58124.83,PERSON-0465 transferred 58124.83 INR to PERSON-0380 for contraband.
ADV-TXN-0197,CASE-1003,6962.98,PERSON-0671 transferred 6962.98 INR to PERSON-0102 for contraband.
ADV-TXN-0198,CASE-0909,56327.01,PERSON-0380 transferred 56327.01 INR to PERSON-0223 for contraband.
ADV-TXN-0199,CASE-0753,43689.61,PERSON-0102 transferred 43689.61 INR to PERSON-0703 for contraband.
ADV-TXN-0200,CASE-0566,61940.65,PERSON-0063 transferred 61940.65 INR to PERSON-0408 for contraband.
ADV-TXN-0201,CASE-0188,8034.71,PERSON-0844 transferred 8034.71 INR to PERSON-0466 for contraband.
ADV-TXN-0202,CASE-0258,54789.07,PERSON-0342 transferred 54789.07 INR to PERSON-0250 for contraband.
ADV-TXN-0203,CASE-1201,18979.92,PERSON-0568 transferred 18979.92 INR to PERSON-0213 for contraband.
ADV-TXN-0204,CASE-1221,64251.64,PERSON-0793 transferred 64251.64 INR to PERSON-0152 for contraband.
ADV-TXN-0205,CASE-0358,12908.19,PERSON-0554 transferred 12908.19 INR to PERSON-0257 for contraband.
ADV-TXN-0206,CASE-0488,20922.05,PERSON-0367 transferred 20922.05 INR to PERSON-0809 for contraband.
ADV-TXN-0207,CASE-0863,33574.76,PERSON-0130 transferred 33574.76 INR to PERSON-0760 for contraband.
ADV-TXN-0208,CASE-1052,18292.99,PERSON-0797 transferred 18292.99 INR to PERSON-0371 for contraband.
ADV-TXN-0209,CASE-1068,8649.52,PERSON-0630 transferred 8649.52 INR to PERSON-0045 for contraband.
ADV-TXN-0210,CASE-0823,47744.08,PERSON-0491 transferred 47744.08 INR to PERSON-0868 for contraband.
ADV-TXN-0211,CASE-0166,12571.5,PERSON-0455 transferred 12571.5 INR to PERSON-0076 for contraband.
ADV-TXN-0212,CASE-1199,27854.26,PERSON-0640 transferred 27854.26 INR to PERSON-0649 for contraband.
ADV-TXN-0213,CASE-0604,10950.71,PERSON-0612 transferred 10950.71 INR to PERSON-0544 for contraband.
ADV-TXN-0214,CASE-1130,30804.2,PERSON-0719 transferred 30804.2 INR to PERSON-0118 for contraband.
ADV-TXN-0215,CASE-0848,28923.81,PERSON-0910 transferred 28923.81 INR to PERSON-0234 for contraband.
ADV-TXN-0216,CASE-0641,27458.06,PERSON-0748 transferred 27458.06 INR to PERSON-0098 for contraband.
ADV-TXN-0217,CASE-0972,10593.81,PERSON-0157 transferred 10593.81 INR to PERSON-0704 for contraband.
ADV-TXN-0218,CASE-0764,40187.9,PERSON-0099 transferred 40187.9 INR to PERSON-0763 for contraband.
ADV-TXN-0219,CASE-0251,57085.53,PERSON-0576 transferred 57085.53 INR to PERSON-0338 for contraband.
ADV-TXN-0220,CASE-0590,39675.11,PERSON-0739 transferred 39675.11 INR to PERSON-0053 for contraband.
ADV-TXN-0221,CASE-0988,26006.84,PERSON-0218 transferred 26006.84 INR to PERSON-0159 for contraband.
ADV-TXN-0222,CASE-0236,53433.28,PERSON-0570 transferred 53433.28 INR to PERSON-0377 for contraband.
ADV-TXN-0223,CASE-1141,6737.19,PERSON-0866 transferred 6737.19 INR to PERSON-0575 for contraband.
ADV-TXN-0224,CASE-0633,15884.33,PERSON-0280 transferred 15884.33 INR to PERSON-0720 for contraband.
ADV-TXN-0225,CASE-0821,10505.46,PERSON-0147 transferred 10505.46 INR to PERSON-0580 for contraband.
ADV-TXN-0226,CASE-0771,27203.19,PERSON-0544 transferred 27203.19 INR to PERSON-0221 for contraband.
ADV-TXN-0227,CASE-1163,14334.79,PERSON-0739 transferred 14334.79 INR to PERSON-0333 for contraband.
ADV-TXN-0228,CASE-0102,44716.32,PERSON-0773 transferred 44716.32 INR to PERSON-0633 for contraband.
ADV-TXN-0229,CASE-0906,11829.05,PERSON-0498 transferred 11829.05 INR to PERSON-0622 for contraband.
ADV-TXN-0230,CASE-0581,36616.05,PERSON-0441 transferred 36616.05 INR to PERSON-0114 for contraband.
ADV-TXN-0231,CASE-0452,8286.92,PERSON-0316 transferred 8286.92 INR to PERSON-0047 for contraband.
ADV-TXN-0232,CASE-0433,22366.83,PERSON-0210 transferred 22366.83 INR to PERSON-0309 for contraband.
ADV-TXN-0233,CASE-1019,27812.45,PERSON-0123 transferred 27812.45 INR to PERSON-0008 for contraband.
ADV-TXN-0234,CASE-1025,53372.01,PERSON-0721 transferred 53372.01 INR to PERSON-0236 for contraband.
ADV-TXN-0235,CASE-0087,56726.6,PERSON-0074 transferred 56726.6 INR to PERSON-0407 for contraband.
ADV-TXN-0236,CASE-1175,30061.64,PERSON-0590 transferred 30061.64 INR to PERSON-0440 for contraband.
ADV-TXN-0237,CASE-0043,54921.55,PERSON-0118 transferred 54921.55 INR to PERSON-0415 for contraband.
ADV-TXN-0238,CASE-0181,19598.99,PERSON-0942 transferred 19598.99 INR to PERSON-0371 for contraband.
ADV-TXN-0239,CASE-1074,49748.29,PERSON-0604 transferred 49748.29 INR to PERSON-0411 for contraband.
ADV-TXN-0240,CASE-0345,36836.29,PERSON-0227 transferred 36836.29 INR to PERSON-0342 for contraband.
ADV-TXN-0241,CASE-0716,54136.92,PERSON-0199 transferred 54136.92 INR to PERSON-0928 for contraband.
ADV-TXN-0242,CASE-0484,15409.94,PERSON-0835 transferred 15409.94 INR to PERSON-0152 for contraband.
ADV-TXN-0243,CASE-0155,42676.93,PERSON-0157 transferred 42676.93 INR to PERSON-0779 for contraband.
ADV-TXN-0244,CASE-1155,56854.81,PERSON-0476 transferred 56854.81 INR to PERSON-0773 for contraband.
ADV-TXN-0245,CASE-0310,42883.11,PERSON-0643 transferred 42883.11 INR to PERSON-0324 for contraband.
